Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Salmón ahumado Noruego Carrefour 100 g.,"100 g. |
31,00 €/kg",,"3,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069334/069334.jpg,"<img aria-describedby=""product-682701980"" alt=""Salmón ahumado Noruego Carrefour 100 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069334/069334.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/069334/069334.jpg"" width=""100%""> <p class=""title-product"">
Salmón ahumado Noruego Carrefour 100 g.</p>"
Salmón ahumado noruego Carrefour 200 g.,"200 g. |
29,50 €/kg",,"5,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069049/069049.jpg,"<img aria-describedby=""product-684504179"" alt=""Salmón ahumado noruego Carrefour 200 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069049/069049.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/069049/069049.jpg"" width=""100%""> <p class=""title-product"">
Salmón ahumado noruego Carrefour 200 g.</p>"
Salmón ahumado Royal 100 g.,"100 g. |
51,00 €/kg","5,10 €",,"5,40 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155426/155426.jpg,"<img aria-describedby=""product-521007429"" alt=""Salmón ahumado Royal 100 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155426/155426.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155426/155426.jpg"" width=""100%""> <p class=""title-product"">
Salmón ahumado Royal 100 g.</p>"
Salmón ahumado noruego ecológico Carrefour Bio 75 g.,"75 g. |
34,67 €/kg",,"2,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/212666/212666.jpg,"<img aria-describedby=""product-prod1161112"" alt=""Salmón ahumado noruego ecológico Carrefour Bio 75 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/212666/212666.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/212666/212666.jpg"" width=""100%""> <p class=""title-product"">
Salmón ahumado noruego ecológico Carrefour Bio 75 g.</p>"
Salmón Marinado Carrefour 100 g.,"100 g. |
29,00 €/kg",,"2,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/472779/472779.jpg,"<img aria-describedby=""product-521016506"" alt=""Salmón Marinado Carrefour 100 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/472779/472779.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/472779/472779.jpg"" width=""100%""> <p class=""title-product"">
Salmón Marinado Carrefour 100 g.</p>"
Salmón noruego Carrefour 100 g.,"100 g. |
31,00 €/kg",,"3,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069912/069912.jpg,"<img aria-describedby=""product-prod971845"" alt=""Salmón noruego Carrefour 100 g. "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/069912/069912.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/069912/069912.jpg"" width=""100%""> <p class=""title-product"">
Salmón noruego Carrefour 100 g. </p>"
Minilonchas de salmón ahumado Duo Royal pack de 2 unidades de 50 g.,"pack 2x50 g. |
52,50 €/kg",,"5,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/567696/567696.png,"<img aria-describedby=""product-521007431"" alt=""Minilonchas de salmón ahumado Duo Royal pack de 2 unidades de 50 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/567696/567696.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/567696/567696.png"" width=""100%""> <p class=""title-product"">
Minilonchas de salmón ahumado Duo Royal pack de 2 unidades de 50 g.</p>"
Bacalao en lonchas ahumado Carrefour 80 g.,"80 g. |
33,62 €/kg",,"2,69 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg,"<img aria-describedby=""product-521033080"" alt=""Bacalao en lonchas ahumado Carrefour 80 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg"" width=""100%""> <p class=""title-product"">
Bacalao en lonchas ahumado Carrefour 80 g.</p>"
"Boquerón aliñado, Salazones Gourmet 70 g","Tarrina de 70 g |
42,71 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/092428/092428.jpg,"<img aria-describedby=""product-694201809"" alt=""Boquerón aliñado, Salazones Gourmet 70 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/092428/092428.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/092428/092428.jpg"" width=""100%""> <p class=""title-product"">
Boquerón aliñado, Salazones Gourmet 70 g</p>"
Salmón ahumado escocés Carrefour 100 g.,"100 g. |
32,50 €/kg",,"3,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231293/231293.jpg,"<img aria-describedby=""product-521031955"" alt=""Salmón ahumado escocés Carrefour 100 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231293/231293.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/231293/231293.jpg"" width=""100%""> <p class=""title-product"">
Salmón ahumado escocés Carrefour 100 g.</p>"
