Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Filetes de bacalao Pescanova 400 g.,"400 g. |
15,38 €/kg",,"6,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/429074/429074.jpg,"<img aria-describedby=""product-521031261"" alt=""Filetes de bacalao Pescanova 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/429074/429074.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/429074/429074.jpg"" width=""100%""> <p class=""title-product"">
Filetes de bacalao Pescanova 400 g.</p>"
Filete de bacalao al punto sal Carrefour 400 g.,"400 g. |
10,12 €/kg",,"4,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/302943/302943.png,"<img aria-describedby=""product-589601121"" alt=""Filete de bacalao al punto sal Carrefour 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/302943/302943.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/302943/302943.png"" width=""100%""> <p class=""title-product"">
Filete de bacalao al punto sal Carrefour 400 g.</p>"
Bacalao desmigado desalado Carrefour 250 g.,"250 g. |
15,00 €/kg",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/965241/965241.jpg,"<img aria-describedby=""product-prod73618"" alt=""Bacalao desmigado desalado Carrefour 250 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/965241/965241.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/965241/965241.jpg"" width=""100%""> <p class=""title-product"">
Bacalao desmigado desalado Carrefour 250 g.</p>"
Bacalao en lonchas ahumado Carrefour 80 g.,"80 g. |
33,62 €/kg",,"2,69 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg,"<img aria-describedby=""product-521033080"" alt=""Bacalao en lonchas ahumado Carrefour 80 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/708300/708300.jpg"" width=""100%""> <p class=""title-product"">
Bacalao en lonchas ahumado Carrefour 80 g.</p>"
Lomo de bacalao Carrefour 300 g.,"300 g. |
13,83 €/kg",,"4,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/904285/904285.png,"<img aria-describedby=""product-799398282"" alt=""Lomo de bacalao Carrefour 300 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/904285/904285.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/904285/904285.png"" width=""100%""> <p class=""title-product"">
Lomo de bacalao Carrefour 300 g.</p>"
Porciones de bacalao Pescanova 400 g.,"400 g. |
8,98 €/kg",,"3,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/736265/736265.jpg,"<img aria-describedby=""product-546501886"" alt=""Porciones de bacalao Pescanova 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/736265/736265.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/736265/736265.jpg"" width=""100%""> <p class=""title-product"">
Porciones de bacalao Pescanova 400 g.</p>"
Lomos de bacalao Pescanova 300 g.,"300 g. |
16,83 €/kg",,"5,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/546274/546274.jpg,"<img aria-describedby=""product-521031259"" alt=""Lomos de bacalao Pescanova 300 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/546274/546274.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/546274/546274.jpg"" width=""100%""> <p class=""title-product"">
Lomos de bacalao Pescanova 300 g.</p>"
"Bacalao desalado desmigado, Arte Morhua 375 g","375 g. |
13,31 €/kg",,"4,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/926628/926628.jpg,"<img aria-describedby=""product-817316622"" alt=""Bacalao desalado desmigado, Arte Morhua 375 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/926628/926628.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/926628/926628.jpg"" width=""100%""> <p class=""title-product"">
Bacalao desalado desmigado, Arte Morhua 375 g</p>"
Pimiento del piquillo relleno de bacalao Carrefour Bolsa de 400 gr,"Bolsa de 400 gr |
9,88 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/112067/112067.jpg,"<img aria-describedby=""product-525964626"" alt=""Pimiento del piquillo relleno de bacalao Carrefour Bolsa de 400 gr"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/112067/112067.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/112067/112067.jpg"" width=""100%""> <p class=""title-product"">
Pimiento del piquillo relleno de bacalao Carrefour Bolsa de 400 gr</p>"
"Bacalao desalao desmigado, Copesco & Sefrisa 250 g","250 g. |
22,00 €/kg",,"5,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/706011/706011.jpg,"<img aria-describedby=""product-737306962"" alt=""Bacalao desalao desmigado, Copesco &amp; Sefrisa 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/706011/706011.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/706011/706011.jpg"" width=""100%""> <p class=""title-product"">
Bacalao desalao desmigado, Copesco &amp; Sefrisa 250 g</p>"
Bacalao dorado Armazens Mercearia Marvanejo 240 g.,"240 g. |
11,46 €/kg",,"2,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/075453/075453.png,"<img aria-describedby=""product-530067158"" alt=""Bacalao dorado Armazens Mercearia Marvanejo 240 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/075453/075453.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/075453/075453.png"" width=""100%""> <p class=""title-product"">
Bacalao dorado Armazens Mercearia Marvanejo 240 g.</p>"
