Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
La Gula del Norte fresca 220 g,"220 g. |
27,23 €/kg",,"5,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/146662/146662.jpg,"<img aria-describedby=""product-521032010"" alt=""La Gula del Norte fresca 220 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/146662/146662.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/146662/146662.jpg"" width=""100%""> <p class=""title-product"">
La Gula del Norte fresca 220 g</p>"
Palitos de mar Krissia 400 g,"Paquete de 400 g. |
11,88 €/kg",,"4,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/714020/714020.jpg,"<img aria-describedby=""product-521032020"" alt=""Palitos de mar Krissia 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/714020/714020.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/714020/714020.jpg"" width=""100%""> <p class=""title-product"">
Palitos de mar Krissia 400 g</p>"
Anguriñas Pescanova pack de 2 unidades de 100 g.,"Pack 2x 100 g. |
10,45 €/kg",,"2,09 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/682491/682491.jpg,"<img aria-describedby=""product-prod67481"" alt=""Anguriñas Pescanova pack de 2 unidades de 100 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/682491/682491.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/682491/682491.jpg"" width=""100%""> <p class=""title-product"">
Anguriñas Pescanova pack de 2 unidades de 100 g.</p>"
Anguinovas Aguinaga 2 x 100 g,"200 g |
5,95 €/kg","1,19 €",,"1,59 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/319178/319178.jpg,"<img aria-describedby=""product-fprod1260081"" alt=""Anguinovas Aguinaga 2 x 100 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/319178/319178.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/319178/319178.jpg"" width=""100%""> <p class=""title-product"">
Anguinovas Aguinaga 2 x 100 g </p>"
Barritas de surimi Krissia 533 g,"Envase de 533 g |
11,24 €/kg",,"5,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/124654/124654.jpg,"<img aria-describedby=""product-557501453"" alt=""Barritas de surimi Krissia 533 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/124654/124654.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/124654/124654.jpg"" width=""100%""> <p class=""title-product"">
Barritas de surimi Krissia 533 g</p>"
Supremas de Aguinaga Carrefour 250 g.,"250 g. |
11,20 €/kg",,"2,80 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/007679/007679.jpg,"<img aria-describedby=""product-521031216"" alt=""Supremas de Aguinaga Carrefour 250 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/007679/007679.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/007679/007679.jpg"" width=""100%""> <p class=""title-product"">
Supremas de Aguinaga Carrefour 250 g.</p>"
Palito surimi 500 g,"500 g |
5,98 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/110543/110543.png,"<img aria-describedby=""product-prod1023667"" alt=""Palito surimi 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/110543/110543.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/110543/110543.png"" width=""100%""> <p class=""title-product"">
Palito surimi 500 g</p>"
La Gula del Norte con gambas 125 g,"Envase de 125 g. |
26,40 €/kg",,"3,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/154372/154372.jpg,"<img aria-describedby=""product-521032012"" alt=""La Gula del Norte con gambas 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/154372/154372.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/154372/154372.jpg"" width=""100%""> <p class=""title-product"">
La Gula del Norte con gambas 125 g</p>"
Palito de mar Aguinaga 300 g,"300 g |
4,63 €/kg",,"1,39 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/323294/323294.jpg,"<img aria-describedby=""product-fprod1260355"" alt=""Palito de mar Aguinaga 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/323294/323294.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/323294/323294.jpg"" width=""100%""> <p class=""title-product"">
Palito de mar Aguinaga 300 g</p>"
Palito de surimi Carrefour 405 g,"405 g |
8,64 €/kg",,"3,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/846894/846894.jpg,"<img aria-describedby=""product-prod680114"" alt=""Palito de surimi Carrefour 405 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/846894/846894.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/846894/846894.jpg"" width=""100%""> <p class=""title-product"">
Palito de surimi Carrefour 405 g</p>"
