Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Mejillón ecológico  Carrefour Bio malla 1 kg,"Malla de |
2,50 €/kg",,"2,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/843575/843575.jpg,"<img aria-describedby=""product-prod630151"" alt=""Mejillón ecológico  Carrefour Bio malla 1 kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/843575/843575.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/843575/843575.jpg"" width=""100%""> <p class=""title-product"">
Mejillón ecológico  Carrefour Bio malla 1 kg</p>"
Langostino cocido (40/60 ud) 1 kg aprox,"Envase de 1000.0 g. aprox |
8,95 €/kg","8,95 €",,"10,95 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231984/231984.jpg,"<img aria-describedby=""product-529043343"" alt=""Langostino cocido (40/60 ud) 1 kg aprox "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231984/231984.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/231984/231984.jpg"" width=""100%""> <p class=""title-product"">
Langostino cocido (40/60 ud) 1 kg aprox </p>"
Langostino cocido (30/40 ud) 500 g aprox,"Envase de 500.0 g. aprox |
11,95 €/kg",,"5,97 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/391617/391617.jpg,"<img aria-describedby=""product-530102403"" alt=""Langostino cocido (30/40 ud) 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/391617/391617.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/391617/391617.jpg"" width=""100%""> <p class=""title-product"">
Langostino cocido (30/40 ud) 500 g aprox</p>"
Mejillón cocido en su jugo Aguinamar 900 g,"900 g. |
7,49 €/kg",,"5,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879796/879796.jpg,"<img aria-describedby=""product-787017804"" alt=""Mejillón cocido en su jugo Aguinamar 900 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879796/879796.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/879796/879796.jpg"" width=""100%""> <p class=""title-product"">
Mejillón cocido en su jugo Aguinamar 900 g</p>"
Langostino cocido (30/40 ud) 500 g aprox,"500 g 500.0 g. aprox |
11,95 €/kg",,"5,97 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374452/374452.jpg,"<img aria-describedby=""product-prod230442"" alt=""Langostino cocido (30/40 ud) 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374452/374452.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/374452/374452.jpg"" width=""100%""> <p class=""title-product"">
Langostino cocido (30/40 ud) 500 g aprox</p>"
Mejillón pasteurizado  Calidad y Origen 800 g,"800 g. |
5,62 €/kg",,"4,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/397796/397796.jpg,"<img aria-describedby=""product-522714049"" alt=""Mejillón pasteurizado  Calidad y Origen 800 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/397796/397796.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/397796/397796.jpg"" width=""100%""> <p class=""title-product"">
Mejillón pasteurizado  Calidad y Origen 800 g</p>"
Langostino gordo fresco (20/30 ud) 500 g,"20/30 piezas 500 g Bandeja de  500.0 g. aprox |
10,95 €/kg",,"5,47 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/058134/058134.jpg,"<img aria-describedby=""product-621301158"" alt=""Langostino gordo fresco (20/30 ud) 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/058134/058134.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/058134/058134.jpg"" width=""100%""> <p class=""title-product"">
Langostino gordo fresco (20/30 ud) 500 g</p>"
Berberecho (40/60 ud aprox) Malla de 500 g,"Malla de 500 g. |
11,80 €/kg",,"5,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815743/815743.jpg,"<img aria-describedby=""product-645501804"" alt=""Berberecho (40/60 ud aprox) Malla de 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815743/815743.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/815743/815743.jpg"" width=""100%""> <p class=""title-product"">
Berberecho (40/60 ud aprox) Malla de 500 g</p>"
Navajas Malla de 500 gr.,"500 g |
7,90 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/966340/966340.jpg,"<img aria-describedby=""product-prod310383"" alt=""Navajas Malla de 500 gr."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/966340/966340.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/966340/966340.jpg"" width=""100%""> <p class=""title-product"">
Navajas Malla de 500 gr.</p>"
Chirla Nacional (50 ud aprox) Malla de 500 g,"50 piezas /malla. 500 g. |
7,90 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815742/815742.jpg,"<img aria-describedby=""product-645501802"" alt=""Chirla Nacional (50 ud aprox) Malla de 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815742/815742.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/815742/815742.jpg"" width=""100%""> <p class=""title-product"">
Chirla Nacional (50 ud aprox) Malla de 500 g</p>"
