Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Rodaja de Salmón Carrefour Calidad y Origen 200 g aprox,"Bandeja de 200.0 g. aprox |
14,90 €/kg","2,98 €",,"3,18 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/283313/283313.jpg,"<img aria-describedby=""product-prod231114"" alt=""Rodaja de Salmón Carrefour Calidad y Origen 200 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/283313/283313.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/283313/283313.jpg"" width=""100%""> <p class=""title-product"">
Rodaja de Salmón Carrefour Calidad y Origen 200 g aprox</p>"
Dorada a la Espalda 1 ud 400-600 gr aprox,"1 ud./Pieza de 400-600 gr. |
3,90 €/ud",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/191318/191318.jpg,"<img aria-describedby=""product-653701820"" alt=""Dorada a la Espalda 1 ud 400-600 gr aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/191318/191318.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/191318/191318.jpg"" width=""100%""> <p class=""title-product"">
Dorada a la Espalda 1 ud 400-600 gr aprox</p>"
Lomo de Atún 300 gr aprox,"Bandeja de 200.0 g. aprox |
13,95 €/kg","2,79 €",,"2,99 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/168559/168559.jpg,"<img aria-describedby=""product-616501747"" alt=""Lomo de Atún 300 gr aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/168559/168559.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/168559/168559.jpg"" width=""100%""> <p class=""title-product"">
Lomo de Atún 300 gr aprox</p>"
Lubina de Ración Pieza 400-600 grs aprox,"Pieza de 500.0 g. aprox |
6,95 €/kg",,"3,47 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/301585/301585.jpg,"<img aria-describedby=""product-790212148"" alt=""Lubina de Ración Pieza 400-600 grs aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/301585/301585.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/301585/301585.jpg"" width=""100%""> <p class=""title-product"">
Lubina de Ración Pieza 400-600 grs aprox</p>"
Filetes de Emperador 500 grs,"Bandeja de  500.0 g. aprox |
13,95 €/kg",,"6,97 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374372/374372.jpg,"<img aria-describedby=""product-662704306"" alt=""Filetes de Emperador 500 grs"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374372/374372.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/374372/374372.jpg"" width=""100%""> <p class=""title-product"">
Filetes de Emperador 500 grs</p>"
Salmón Carrefour Calidad y Origen Pieza de 1 a 3 kg aprox,"Pieza de 2500.0 g. aprox |
6,99 €/kg","17,47 €",,"22,37 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/149458/149458.jpg,"<img aria-describedby=""product-872703936"" alt=""Salmón Carrefour Calidad y Origen Pieza de 1 a 3 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/149458/149458.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/149458/149458.jpg"" width=""100%""> <p class=""title-product"">
Salmón Carrefour Calidad y Origen Pieza de 1 a 3 kg aprox</p>"
Dorada de Ración 400-600 gr aprox,"Pieza de  500.0 g. aprox |
7,90 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/033389/033389.jpg,"<img aria-describedby=""product-628108203"" alt=""Dorada de Ración 400-600 gr aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/033389/033389.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/033389/033389.jpg"" width=""100%""> <p class=""title-product"">
Dorada de Ración 400-600 gr aprox</p>"
Lomos de Salmón Carrefour Calidad y Origen 300 g aprox,"Bandeja de 300.0 g. aprox |
17,90 €/kg","5,37 €",,"5,97 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/295106/295106.jpg,"<img aria-describedby=""product-prod261161"" alt=""Lomos de Salmón Carrefour Calidad y Origen 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/295106/295106.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/295106/295106.jpg"" width=""100%""> <p class=""title-product"">
Lomos de Salmón Carrefour Calidad y Origen 300 g aprox</p>"
Atún Solomillo 1 ud 150 gr,"Pieza de 120-150g. |
3,75 €/ud",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/114552/114552.jpg,"<img aria-describedby=""product-628108264"" alt=""Atún Solomillo 1 ud 150 gr"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/114552/114552.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/114552/114552.jpg"" width=""100%""> <p class=""title-product"">
Atún Solomillo 1 ud 150 gr</p>"
Lomo de Atún 300 g aprox,"Bandeja de 300.0 g. aprox |
13,95 €/kg","4,18 €",,"4,48 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/232145/232145.jpg,"<img aria-describedby=""product-659101740"" alt=""Lomo de Atún 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/232145/232145.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/232145/232145.jpg"" width=""100%""> <p class=""title-product"">
Lomo de Atún 300 g aprox</p>"
