Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Preparado para paella marisco Froxa 600 g,"600 g |
6,65 €/kg",,"3,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/847583/847583.jpg,"<img aria-describedby=""product-prod690175"" alt=""Preparado para paella marisco Froxa 600 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/847583/847583.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/847583/847583.jpg"" width=""100%""> <p class=""title-product"">
Preparado para paella marisco Froxa 600 g</p>"
Paella marinera Apolo 1 kg.,"1 kg. |
4,45 €/kg",,"4,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/750387/750387.png,"<img aria-describedby=""product-746375334"" alt=""Paella marinera Apolo 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/750387/750387.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/750387/750387.png"" width=""100%""> <p class=""title-product"">
Paella marinera Apolo 1 kg.</p>"
Preparado de marisco para paella Carrefour 400 g.,"400 g. |
7,75 €/kg",,"3,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/189112/189112.jpg,"<img aria-describedby=""product-prod1130608"" alt=""Preparado de marisco para paella Carrefour 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/189112/189112.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/189112/189112.jpg"" width=""100%""> <p class=""title-product"">
Preparado de marisco para paella Carrefour 400 g.</p>"
Mejillón en salsa de tomate Aguinamar 900 g,"900 g. |
7,49 €/kg",,"5,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879809/879809.jpg,"<img aria-describedby=""product-787017814"" alt=""Mejillón en salsa de tomate Aguinamar 900 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879809/879809.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/879809/879809.jpg"" width=""100%""> <p class=""title-product"">
Mejillón en salsa de tomate Aguinamar 900 g</p>"
Preparado de paella 850 g,"Bandeja de  850.0 g. aprox |
9,90 €/kg",,"8,41 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/707764/707764.png,"<img aria-describedby=""product-521035727"" alt=""Preparado de paella 850 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/707764/707764.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/707764/707764.png"" width=""100%""> <p class=""title-product"">
Preparado de paella 850 g</p>"
Gamba rebozada con ajo y perejil 400 g,"400 g |
14,98 €/kg",,"5,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988633/988633.jpg,"<img aria-describedby=""product-prod64602"" alt=""Gamba rebozada con ajo y perejil 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988633/988633.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/988633/988633.jpg"" width=""100%""> <p class=""title-product"">
Gamba rebozada con ajo y perejil 400 g</p>"
Mejillón en jugo Aguinamar 500 g,"500 g |
8,50 €/kg",,"4,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/143359/143359.jpg,"<img aria-describedby=""product-prod1090059"" alt=""Mejillón en jugo Aguinamar 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/143359/143359.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/143359/143359.jpg"" width=""100%""> <p class=""title-product"">
Mejillón en jugo Aguinamar 500 g</p>"
Tinta de calamar o sepia esterilizada 90 g,"90 g. |
33,22 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/968107/968107.jpg,"<img aria-describedby=""product-prod68550"" alt=""Tinta de calamar o sepia esterilizada 90 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/968107/968107.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/968107/968107.jpg"" width=""100%""> <p class=""title-product"">
Tinta de calamar o sepia esterilizada 90 g</p>"
Mejillón con tomate Aguinamar 500 g,"500 g |
8,50 €/kg",,"4,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/143354/143354.jpg,"<img aria-describedby=""product-prod1090060"" alt=""Mejillón con tomate Aguinamar 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/143354/143354.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/143354/143354.jpg"" width=""100%""> <p class=""title-product"">
Mejillón con tomate Aguinamar 500 g</p>"
Preparado para sopa marinera Delfín 400 g.,"400 g. |
10,12 €/kg",,"4,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/349545/349545.jpg,"<img aria-describedby=""product-594709129"" alt=""Preparado para sopa marinera Delfín 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/349545/349545.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/349545/349545.jpg"" width=""100%""> <p class=""title-product"">
Preparado para sopa marinera Delfín 400 g.</p>"
