Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Calamar limpio 400 g.,"400 g. |
11,25 €/kg",,"4,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/721056/721056.jpg,"<img aria-describedby=""product-521031267"" alt=""Calamar limpio 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/721056/721056.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/721056/721056.jpg"" width=""100%""> <p class=""title-product"">
Calamar limpio 400 g.</p>"
Rabas enharinadas 600 g,"600 g. |
7,50 €/kg",,"4,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/847588/847588.jpg,"<img aria-describedby=""product-prod690176"" alt=""Rabas enharinadas 600 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/847588/847588.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/847588/847588.jpg"" width=""100%""> <p class=""title-product"">
Rabas enharinadas 600 g</p>"
Tinta de sepia 1 ud,"1 ud. |
0,29 €/ud",,"0,29 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988644/988644.jpg,"<img aria-describedby=""product-prod64592"" alt=""Tinta de sepia 1 ud"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988644/988644.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/988644/988644.jpg"" width=""100%""> <p class=""title-product"">
Tinta de sepia 1 ud</p>"
Sepia limpia 400 g.,"400 g. |
12,00 €/kg",,"4,80 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/721054/721054.jpg,"<img aria-describedby=""product-521031265"" alt=""Sepia limpia 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/721054/721054.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/721054/721054.jpg"" width=""100%""> <p class=""title-product"">
Sepia limpia 400 g.</p>"
Anillas de pota argentina Carrefour 450 g.,"450 g. |
11,11 €/kg",,"5,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/819258/819258.png,"<img aria-describedby=""product-649302141"" alt=""Anillas de pota argentina Carrefour 450 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/819258/819258.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/819258/819258.png"" width=""100%""> <p class=""title-product"">
Anillas de pota argentina Carrefour 450 g.</p>"
Sepia limipia 480 g,"480 g |
14,56 €/kg",,"6,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/767667/767667.jpg,"<img aria-describedby=""product-758904334"" alt=""Sepia limipia 480 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/767667/767667.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/767667/767667.jpg"" width=""100%""> <p class=""title-product"">
Sepia limipia 480 g</p>"
Chipirón troceado Carrefour 500 g.,"500 g. |
10,30 €/kg",,"5,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/298864/298864.png,"<img aria-describedby=""product-655602086"" alt=""Chipirón troceado Carrefour 500 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/298864/298864.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/298864/298864.png"" width=""100%""> <p class=""title-product"">
Chipirón troceado Carrefour 500 g.</p>"
Sepia 500 g aprox,"Bandeja de  500.0 g. aprox |
13,50 €/kg",,"6,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374348/374348.jpg,"<img aria-describedby=""product-prod64500"" alt=""Sepia 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/374348/374348.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/374348/374348.jpg"" width=""100%""> <p class=""title-product"">
Sepia 500 g aprox</p>"
Patas de pulpo Merimar 250 g,"300 g. |
33,30 €/kg",,"9,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/790033/790033.jpg,"<img aria-describedby=""product-526010749"" alt=""Patas de pulpo Merimar 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/790033/790033.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/790033/790033.jpg"" width=""100%""> <p class=""title-product"">
Patas de pulpo Merimar 250 g</p>"
Tiras de pota Congelados 500 g,"500 g. |
9,00 €/kg",,"4,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/466466/466466.jpg,"<img aria-describedby=""product-714518202"" alt=""Tiras de pota Congelados 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/466466/466466.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/466466/466466.jpg"" width=""100%""> <p class=""title-product"">
Tiras de pota Congelados 500 g</p>"
