Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Fresón Carrefour tarrina 500 g,"500 g. |
5,90 €/kg",,"2,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035923/035923.jpg,"<img aria-describedby=""product-521032196"" alt=""Fresón Carrefour tarrina 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035923/035923.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035923/035923.jpg"" width=""100%""> <p class=""title-product"">
Fresón Carrefour tarrina 500 g</p>"
Frambuesa Carrefour tarrina 125 g,"125 g. |
12,88 €/kg",,"1,61 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035934/035934.jpg,"<img aria-describedby=""product-528412286"" alt=""Frambuesa Carrefour tarrina 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035934/035934.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035934/035934.jpg"" width=""100%""> <p class=""title-product"">
Frambuesa Carrefour tarrina 125 g</p>"
Arándanos Carrefour tarrina 250 g,"250 g |
15,00 €/kg",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/978572/978572.jpg,"<img aria-describedby=""product-prod160270"" alt=""Arándanos Carrefour tarrina 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/978572/978572.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/978572/978572.jpg"" width=""100%""> <p class=""title-product"">
Arándanos Carrefour tarrina 250 g</p>"
Moras Carrefour tarrina 125 g,"125 g. |
15,92 €/kg",,"1,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/464651/464651.jpg,"<img aria-describedby=""product-521032199"" alt=""Moras Carrefour tarrina 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/464651/464651.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/464651/464651.jpg"" width=""100%""> <p class=""title-product"">
Moras Carrefour tarrina 125 g</p>"
Arandanos Bio 125 g,"125 g |
23,60 €/kg",,"2,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/285111/285111.jpg,"<img aria-describedby=""product-prod240103"" alt=""Arandanos Bio 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/285111/285111.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/285111/285111.jpg"" width=""100%""> <p class=""title-product"">
Arandanos Bio 125 g</p>"
Frambuesa ecológica Carrefour granel tarrina 125 g,"Envase de |
26,00 €/kg",,"3,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278904/278904.jpg,"<img aria-describedby=""product-prod230238"" alt=""Frambuesa ecológica Carrefour granel tarrina 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278904/278904.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/278904/278904.jpg"" width=""100%""> <p class=""title-product"">
Frambuesa ecológica Carrefour granel tarrina 125 g</p>"
Surtido frutos rojos Carrefour tarrina 300 g,"300 g |
23,17 €/kg",,"6,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/973395/973395.jpg,"<img aria-describedby=""product-prod460008"" alt=""Surtido frutos rojos Carrefour tarrina 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/973395/973395.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/973395/973395.jpg"" width=""100%""> <p class=""title-product"">
Surtido frutos rojos Carrefour tarrina 300 g</p>"
Surtidos de fresas y frutos rojos Carrefour 1ud.,"1 ud. |
8,95 €/ud",,"8,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/826164/826164.jpg,"<img aria-describedby=""product-prod460109"" alt=""Surtidos de fresas y frutos rojos Carrefour 1ud."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/826164/826164.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/826164/826164.jpg"" width=""100%""> <p class=""title-product"">
Surtidos de fresas y frutos rojos Carrefour 1ud.</p>"
Fresón Carrefour tarrina 250 g,"250 g. |
6,00 €/kg",,"1,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035920/035920.jpg,"<img aria-describedby=""product-521034174"" alt=""Fresón Carrefour tarrina 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035920/035920.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035920/035920.jpg"" width=""100%""> <p class=""title-product"">
Fresón Carrefour tarrina 250 g</p>"
Grosellas Carrefour tarrina 125 g,"125 g  |
24,80 €/kg",,"3,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/464652/464652.jpg,"<img aria-describedby=""product-527031076"" alt=""Grosellas Carrefour tarrina 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/464652/464652.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/464652/464652.jpg"" width=""100%""> <p class=""title-product"">
Grosellas Carrefour tarrina 125 g</p>"
Fresón Premium 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
7,45 €/kg",,"7,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155540/155540.jpg,"<img aria-describedby=""product-608701716"" alt=""Fresón Premium 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155540/155540.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155540/155540.jpg"" width=""100%""> <p class=""title-product"">
Fresón Premium 1 Kg aprox</p>"
Arandanos rojos Carrefour tarrina 125 g,"125 g |
26,00 €/kg",,"3,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155219/155219.jpg,"<img aria-describedby=""product-865000482"" alt=""Arandanos rojos Carrefour tarrina 125 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155219/155219.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155219/155219.jpg"" width=""100%""> <p class=""title-product"">
Arandanos rojos Carrefour tarrina 125 g </p>"
,,,,,,
