Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Manzana golden Carrefour Calidad y Origen 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
1,59 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261962/261962.jpg,"<img aria-describedby=""product-532601637"" alt=""Manzana golden Carrefour Calidad y Origen 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261962/261962.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261962/261962.jpg"" width=""100%""> <p class=""title-product"">
Manzana golden Carrefour Calidad y Origen 1 Kg aprox</p>"
Manzana royal gala Carrefour Calidad y Origen 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
1,59 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261966/261966.jpg,"<img aria-describedby=""product-550003481"" alt=""Manzana royal gala Carrefour Calidad y Origen 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261966/261966.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261966/261966.jpg"" width=""100%""> <p class=""title-product"">
Manzana royal gala Carrefour Calidad y Origen 1 Kg aprox</p>"
Manzana fuji Carrefour 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
2,09 €/kg",,"2,09 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053746/053746.jpg,"<img aria-describedby=""product-547901615"" alt=""Manzana fuji Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053746/053746.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053746/053746.jpg"" width=""100%""> <p class=""title-product"">
Manzana fuji Carrefour 1 Kg aprox</p>"
"Pera conferencia Carrefour tarrina 1,5 Kg aprox","Bandeja de  1500.0 g. aprox |
1,29 €/kg",,"1,93 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/823151/823151.jpg,"<img aria-describedby=""product-prod420334"" alt=""Pera conferencia Carrefour tarrina 1,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/823151/823151.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/823151/823151.jpg"" width=""100%""> <p class=""title-product"">
Pera conferencia Carrefour tarrina 1,5 Kg aprox</p>"
Pera conferencia Carrefour Calidad y Origen 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
1,59 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/446844/446844.jpg,"<img aria-describedby=""product-553703628"" alt=""Pera conferencia Carrefour Calidad y Origen 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/446844/446844.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/446844/446844.jpg"" width=""100%""> <p class=""title-product"">
Pera conferencia Carrefour Calidad y Origen 1 Kg aprox</p>"
Manzana pink lady Carrefour 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
2,99 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/407353/407353.jpg,"<img aria-describedby=""product-529921851"" alt=""Manzana pink lady Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/407353/407353.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/407353/407353.jpg"" width=""100%""> <p class=""title-product"">
Manzana pink lady Carrefour 1 Kg aprox</p>"
Pera ercolina Carrefour 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
1,99 €/kg",,"1,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035770/035770.jpg,"<img aria-describedby=""product-542801602"" alt=""Pera ercolina Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035770/035770.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035770/035770.jpg"" width=""100%""> <p class=""title-product"">
Pera ercolina Carrefour 1 Kg aprox</p>"
"Manzana golden  bandeja 1,5 Kg aprox","Bandeja de  1500.0 g. aprox |
0,86 €/kg","1,29 €",,"1,93 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/833753/833753.jpg,"<img aria-describedby=""product-prod520800"" alt=""Manzana golden  bandeja 1,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/833753/833753.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/833753/833753.jpg"" width=""100%""> <p class=""title-product"">
Manzana golden  bandeja 1,5 Kg aprox</p>"
Manzana royal gala ecológica bandeja 4 ud 600 g,"600 g |
4,58 €/ud",,"2,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/281641/281641.png,"<img aria-describedby=""product-600709190"" alt=""Manzana royal gala ecológica bandeja 4 ud 600 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/281641/281641.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/281641/281641.png"" width=""100%""> <p class=""title-product"">
Manzana royal gala ecológica bandeja 4 ud 600 g</p>"
Manzana granny smith Carrefour 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
1,79 €/kg",,"1,79 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035624/035624.jpg,"<img aria-describedby=""product-542001785"" alt=""Manzana granny smith Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035624/035624.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035624/035624.jpg"" width=""100%""> <p class=""title-product"">
Manzana granny smith Carrefour 1 Kg aprox</p>"
