Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Naranja de Zumo Carrefour Malla 4 kg,"Malla de 4 kg |
2,00 €/kg",,"7,98 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235300/235300.jpg,"<img aria-describedby=""product-522713985"" alt=""Naranja de Zumo Carrefour Malla 4 kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235300/235300.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/235300/235300.jpg"" width=""100%""> <p class=""title-product"">
Naranja de Zumo Carrefour Malla 4 kg</p>"
Limón Carrefour bolsa 750 grs,"Bandeja de 750 grs |
2,67 €/kg",,"2,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879803/879803.jpg,"<img aria-describedby=""product-808725796"" alt=""Limón Carrefour bolsa 750 grs"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/879803/879803.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/879803/879803.jpg"" width=""100%""> <p class=""title-product"">
Limón Carrefour bolsa 750 grs</p>"
Naranja Carrefour Malla 4 kg.,"Malla de 4 Kg |
0,99 €/kg","3,96 €",,"5,96 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035601/035601.jpg,"<img aria-describedby=""product-521032164"" alt=""Naranja Carrefour Malla 4 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035601/035601.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035601/035601.jpg"" width=""100%""> <p class=""title-product"">
Naranja Carrefour Malla 4 kg.</p>"
Limón Ecológico Carrefour Bio Malla 500 grs,"Malla de 500 g. |
3,10 €/kg",,"1,55 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/738651/738651.jpg,"<img aria-describedby=""product-584501555"" alt=""Limón Ecológico Carrefour Bio Malla 500 grs"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/738651/738651.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/738651/738651.jpg"" width=""100%""> <p class=""title-product"">
Limón Ecológico Carrefour Bio Malla 500 grs</p>"
Limón Carrefour Granel Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
2,49 €/kg",,"2,49 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050563/050563.jpg,"<img aria-describedby=""product-653301651"" alt=""Limón Carrefour Granel Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050563/050563.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/050563/050563.jpg"" width=""100%""> <p class=""title-product"">
Limón Carrefour Granel Bolsa 1 Kg</p>"
Mandarina Carrefour Granel Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
1,99 €/kg",,"1,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035590/035590.jpg,"<img aria-describedby=""product-532601611"" alt=""Mandarina Carrefour Granel Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035590/035590.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035590/035590.jpg"" width=""100%""> <p class=""title-product"">
Mandarina Carrefour Granel Bolsa 1 Kg</p>"
Naranja de Mesa Carrefour Granel Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
1,65 €/kg",,"1,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035597/035597.jpg,"<img aria-describedby=""product-532601613"" alt=""Naranja de Mesa Carrefour Granel Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035597/035597.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035597/035597.jpg"" width=""100%""> <p class=""title-product"">
Naranja de Mesa Carrefour Granel Bolsa 1 Kg</p>"
Lima Carrefour Malla 3 Piezas,"Malla de 3 Piezas |
0,33 €/ud",,"1,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/185990/185990.jpg,"<img aria-describedby=""product-538002932"" alt=""Lima Carrefour Malla 3 Piezas"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/185990/185990.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/185990/185990.jpg"" width=""100%""> <p class=""title-product"">
Lima Carrefour Malla 3 Piezas</p>"
Pomelo Rojo Carrefour Granel Bolsa 500 grs,"Bolsa 500 gr 500.0 g. aprox |
1,99 €/kg",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035619/035619.jpg,"<img aria-describedby=""product-530066892"" alt=""Pomelo Rojo Carrefour Granel Bolsa 500 grs"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035619/035619.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035619/035619.jpg"" width=""100%""> <p class=""title-product"">
Pomelo Rojo Carrefour Granel Bolsa 500 grs</p>"
Naranja de Mesa Carrefour Malla 2 Kg,"2 Kg |
1,75 €/kg",,"3,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235306/235306.jpg,"<img aria-describedby=""product-521032162"" alt=""Naranja de Mesa Carrefour Malla 2 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235306/235306.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/235306/235306.jpg"" width=""100%""> <p class=""title-product"">
Naranja de Mesa Carrefour Malla 2 Kg</p>"
Naranja Marca Selecta Carrefour Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
3,00 €/kg",,"3,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/221178/221178.jpg,"<img aria-describedby=""product-584501507"" alt=""Naranja Marca Selecta Carrefour Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/221178/221178.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/221178/221178.jpg"" width=""100%""> <p class=""title-product"">
Naranja Marca Selecta Carrefour Bolsa 1 Kg</p>"
Mandarina Marca Selecta Carrefour Granel Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
4,75 €/kg",,"4,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/392329/392329.jpg,"<img aria-describedby=""product-584501547"" alt=""Mandarina Marca Selecta Carrefour Granel Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/392329/392329.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/392329/392329.jpg"" width=""100%""> <p class=""title-product"">
Mandarina Marca Selecta Carrefour Granel Bolsa 1 Kg</p>"
Mandarina C/Hoja Selecta Carrefour Granel Bolsa 1 Kg,"Bolsa de 1 kg 1000.0 g. aprox |
2,15 €/kg",,"2,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/413375/413375.jpg,"<img aria-describedby=""product-575401785"" alt=""Mandarina C/Hoja Selecta Carrefour Granel Bolsa 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/413375/413375.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/413375/413375.jpg"" width=""100%""> <p class=""title-product"">
Mandarina C/Hoja Selecta Carrefour Granel Bolsa 1 Kg</p>"
Mandarina Carrefour Malla 1 kg,"Malla de 1 kg |
1,89 €/kg",,"1,89 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/457701/457701.jpg,"<img aria-describedby=""product-521009782"" alt=""Mandarina Carrefour Malla 1 kg "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/457701/457701.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/457701/457701.jpg"" width=""100%""> <p class=""title-product"">
Mandarina Carrefour Malla 1 kg </p>"
Lima Carrefour Granel Bolsa 500 grs,"Bolsa de 500 gr 1000.0 g. aprox |
3,99 €/kg",,"3,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/036050/036050.jpg,"<img aria-describedby=""product-529043191"" alt=""Lima Carrefour Granel Bolsa 500 grs"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/036050/036050.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/036050/036050.jpg"" width=""100%""> <p class=""title-product"">
Lima Carrefour Granel Bolsa 500 grs</p>"
Naranja Marca Selecta Carrefour Bandeja 1 Kg,"Bolsa de 1 kg |
2,95 €/kg",,"2,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/140863/140863.jpg,"<img aria-describedby=""product-prod74314"" alt=""Naranja Marca Selecta Carrefour Bandeja 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/140863/140863.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/140863/140863.jpg"" width=""100%""> <p class=""title-product"">
Naranja Marca Selecta Carrefour Bandeja 1 Kg</p>"
Limón ecológico Carrefour Bio granel 700 g aprox,"Envase de 700.0 g. aprox |
3,25 €/kg",,"2,27 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/369767/369767.jpg,"<img aria-describedby=""product-prod850069"" alt=""Limón ecológico Carrefour Bio granel 700 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/369767/369767.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/369767/369767.jpg"" width=""100%""> <p class=""title-product"">
Limón ecológico Carrefour Bio granel 700 g aprox</p>"
