Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Kiwi Zespri Carrefour 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
3,59 €/kg",,"3,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/243817/243817.jpg,"<img aria-describedby=""product-719618129"" alt=""Kiwi Zespri Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/243817/243817.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/243817/243817.jpg"" width=""100%""> <p class=""title-product"">
Kiwi Zespri Carrefour 1 Kg aprox</p>"
Aguacate hass  1 Kg aprox,"Bandeja de  1000.0 g. aprox |
5,39 €/kg",,"5,39 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/036010/036010.jpg,"<img aria-describedby=""product-547901607"" alt=""Aguacate hass  1 Kg aprox "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/036010/036010.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/036010/036010.jpg"" width=""100%""> <p class=""title-product"">
Aguacate hass  1 Kg aprox </p>"
Guacamole Carrefour tarrina 200 g,"200 g |
7,95 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg,"<img aria-describedby=""product-prod1160715"" alt=""Guacamole Carrefour tarrina 200 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg"" width=""100%""> <p class=""title-product"">
Guacamole Carrefour tarrina 200 g</p>"
Aguacate ecológico Carrefour Bio 500 g,"500 gr. |
7,30 €/kg",,"3,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/094815/094815.jpg,"<img aria-describedby=""product-695807640"" alt=""Aguacate ecológico Carrefour Bio 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/094815/094815.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/094815/094815.jpg"" width=""100%""> <p class=""title-product"">
Aguacate ecológico Carrefour Bio 500 g</p>"
Aguacate Carrefour flowpack 3/4 ud 500 g,"500 g |
6,00 €/kg",,"3,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/246583/246583.jpg,"<img aria-describedby=""product-prod190376"" alt=""Aguacate Carrefour flowpack 3/4 ud 500 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/246583/246583.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/246583/246583.jpg"" width=""100%""> <p class=""title-product"">
Aguacate Carrefour flowpack 3/4 ud 500 g </p>"
Mango Carrefour Calidad y Origen bandeja 500 g aprox origen nacional,"Envase de 500.0 g. aprox |
2,49 €/kg","1,24 €",,"1,77 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/371656/371656.jpg,"<img aria-describedby=""product-fprod1430100"" alt=""Mango Carrefour Calidad y Origen bandeja 500 g aprox origen nacional"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/371656/371656.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/371656/371656.jpg"" width=""100%""> <p class=""title-product"">
Mango Carrefour Calidad y Origen bandeja 500 g aprox origen nacional</p>"
Kiwi gold selecta Carrefour bandeja 4 ud 500 g,"500 g |
7,50 €/ud",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/914204/914204.jpg,"<img aria-describedby=""product-804032165"" alt=""Kiwi gold selecta Carrefour bandeja 4 ud 500 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/914204/914204.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/914204/914204.jpg"" width=""100%""> <p class=""title-product"">
Kiwi gold selecta Carrefour bandeja 4 ud 500 g </p>"
"Piña golden ripe Carrefour 1,5 Kg aprox","Bandeja de  2000.0 g. aprox |
1,19 €/kg",,"2,38 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/181242/181242.jpg,"<img aria-describedby=""product-521032201"" alt=""Piña golden ripe Carrefour 1,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/181242/181242.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/181242/181242.jpg"" width=""100%""> <p class=""title-product"">
Piña golden ripe Carrefour 1,5 Kg aprox</p>"
"Piña selecta Del Monte 1,5 Kg aprox","Bandeja de  1500.0 g. aprox |
1,75 €/kg","2,62 €",,"2,98 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/017004/017004.jpg,"<img aria-describedby=""product-616401668"" alt=""Piña selecta Del Monte 1,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/017004/017004.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/017004/017004.jpg"" width=""100%""> <p class=""title-product"">
Piña selecta Del Monte 1,5 Kg aprox</p>"
Kiwi zespri selecta Carrefour bandeja 4 ud 500 g,"500 g |
5,58 €/ud",,"2,79 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/914213/914213.jpg,"<img aria-describedby=""product-804032185"" alt=""Kiwi zespri selecta Carrefour bandeja 4 ud 500 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/914213/914213.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/914213/914213.jpg"" width=""100%""> <p class=""title-product"">
Kiwi zespri selecta Carrefour bandeja 4 ud 500 g </p>"
