Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Melón piel de sapo Carrefour 3 Kg aprox,"Pieza de  3000.0 g. aprox |
0,55 €/kg",,"1,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035701/035701.jpg,"<img aria-describedby=""product-521032186"" alt=""Melón piel de sapo Carrefour 3 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035701/035701.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035701/035701.jpg"" width=""100%""> <p class=""title-product"">
Melón piel de sapo Carrefour 3 Kg aprox</p>"
"Melón cantaloup Carrefour 1,3 Kg aprox","Pieza de  1350.0 g. aprox |
2,75 €/kg",,"3,71 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035710/035710.jpg,"<img aria-describedby=""product-521032190"" alt=""Melón cantaloup Carrefour 1,3 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035710/035710.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035710/035710.jpg"" width=""100%""> <p class=""title-product"">
Melón cantaloup Carrefour 1,3 Kg aprox</p>"
"Melón galia Carrefour 1,3 Kg aprox","Pieza de  1350.0 g. aprox |
2,39 €/kg",,"3,23 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035714/035714.jpg,"<img aria-describedby=""product-521032180"" alt=""Melón galia Carrefour 1,3 Kg aprox "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035714/035714.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035714/035714.jpg"" width=""100%""> <p class=""title-product"">
Melón galia Carrefour 1,3 Kg aprox </p>"
Melón piel sapo Carrefour 3 Kg aprox,"Pieza de  3000.0 g. aprox |
1,25 €/kg",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/021221/021221.jpg,"<img aria-describedby=""product-846800406"" alt=""Melón piel sapo Carrefour 3 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/021221/021221.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/021221/021221.jpg"" width=""100%""> <p class=""title-product"">
Melón piel sapo Carrefour 3 Kg aprox</p>"
Melón piel sapo Premium selección 3 Kg aprox,"Pieza de  3000.0 g. aprox |
2,79 €/kg",,"8,37 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073339/073339.jpg,"<img aria-describedby=""product-615201590"" alt=""Melón piel sapo Premium selección 3 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073339/073339.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/073339/073339.jpg"" width=""100%""> <p class=""title-product"">
Melón piel sapo Premium selección 3 Kg aprox</p>"
Melón amarillo Carrefour 2 Kg aprox,"Pieza de  2000.0 g. aprox |
1,59 €/kg",,"3,18 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035716/035716.png,"<img aria-describedby=""product-521032184"" alt=""Melón amarillo Carrefour 2 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/035716/035716.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/035716/035716.png"" width=""100%""> <p class=""title-product"">
Melón amarillo Carrefour 2 Kg aprox</p>"
"Sandía negra Premium 5,5 Kg aprox","Pieza de  5500.0 g. aprox |
2,05 €/kg",,"11,27 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073331/073331.jpg,"<img aria-describedby=""product-615201586"" alt=""Sandía negra Premium 5,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073331/073331.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/073331/073331.jpg"" width=""100%""> <p class=""title-product"">
Sandía negra Premium 5,5 Kg aprox</p>"
"Melón cantaloup Premium 1,2 Kg aprox","Pieza de  1200.0 g. aprox |
2,79 €/kg",,"3,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/276494/276494.jpg,"<img aria-describedby=""product-608101675"" alt=""Melón cantaloup Premium 1,2 Kg aprox "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/276494/276494.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/276494/276494.jpg"" width=""100%""> <p class=""title-product"">
Melón cantaloup Premium 1,2 Kg aprox </p>"
Melón galia Premium 2 Kg aprox,"Pieza de  2000.0 g. aprox |
2,93 €/kg",,"5,86 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073321/073321.jpg,"<img aria-describedby=""product-615201580"" alt=""Melón galia Premium 2 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073321/073321.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/073321/073321.jpg"" width=""100%""> <p class=""title-product"">
Melón galia Premium 2 Kg aprox</p>"
,,,,,,
