Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Uva blanca Carrefour 500 g aprox,"Bandeja de  500.0 g. aprox |
1,59 €/kg","0,79 €",,"1,25 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053858/053858.jpg,"<img aria-describedby=""product-530067054"" alt=""Uva blanca Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053858/053858.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053858/053858.jpg"" width=""100%""> <p class=""title-product"">
Uva blanca Carrefour 500 g aprox</p>"
Uva blanca selecta sin pepitas Carrefour tarrina 500 g,"500 g |
3,70 €/kg",,"1,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/116643/116643.jpg,"<img aria-describedby=""product-521007449"" alt=""Uva blanca selecta sin pepitas Carrefour tarrina 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/116643/116643.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/116643/116643.jpg"" width=""100%""> <p class=""title-product"">
Uva blanca selecta sin pepitas Carrefour tarrina 500 g</p>"
Uva rosada Carrefour Calidad y Origen Carrefour 500 g,"500 g |
3,30 €/kg",,"1,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/325679/325679.jpg,"<img aria-describedby=""product-fprod1270156"" alt=""Uva rosada Carrefour Calidad y Origen Carrefour 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/325679/325679.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/325679/325679.jpg"" width=""100%""> <p class=""title-product"">
Uva rosada Carrefour Calidad y Origen Carrefour 500 g</p>"
Uva rosada Carrefour Calidad y Origen granel 300 g aprox,"Envase de  300.0 g. aprox |
1,99 €/kg",,"0,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/325676/325676.jpg,"<img aria-describedby=""product-fprod1270151"" alt=""Uva rosada Carrefour Calidad y Origen granel 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/325676/325676.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/325676/325676.jpg"" width=""100%""> <p class=""title-product"">
Uva rosada Carrefour Calidad y Origen granel 300 g aprox</p>"
Uva blanca de mercado 300 g aprox,"Envase de  300.0 g. aprox |
1,59 €/kg","0,48 €",,"1,50 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/017776/017776.jpg,"<img aria-describedby=""product-prod871083"" alt=""Uva blanca de mercado 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/017776/017776.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/017776/017776.jpg"" width=""100%""> <p class=""title-product"">
Uva blanca de mercado 300 g aprox</p>"
Uva sin pepitas Premium 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
4,25 €/kg",,"4,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155373/155373.jpg,"<img aria-describedby=""product-608701672"" alt=""Uva sin pepitas Premium 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155373/155373.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155373/155373.jpg"" width=""100%""> <p class=""title-product"">
Uva sin pepitas Premium 1 Kg aprox</p>"
Uva moscatel Premium 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
4,40 €/kg",,"4,40 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/799140/799140.jpg,"<img aria-describedby=""product-653302143"" alt=""Uva moscatel Premium 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/799140/799140.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/799140/799140.jpg"" width=""100%""> <p class=""title-product"">
Uva moscatel Premium 1 Kg aprox</p>"
Uva blanca Premium 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
3,75 €/kg",,"3,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155532/155532.jpg,"<img aria-describedby=""product-608701704"" alt=""Uva blanca Premium 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155532/155532.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155532/155532.jpg"" width=""100%""> <p class=""title-product"">
Uva blanca Premium 1 Kg aprox</p>"
Uva bicolor Premium 500 g,"500 g |
4,70 €/kg",,"2,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208259/208259.jpg,"<img aria-describedby=""product-prod61445"" alt=""Uva bicolor Premium 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208259/208259.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/208259/208259.jpg"" width=""100%""> <p class=""title-product"">
Uva bicolor Premium 500 g</p>"
Uva rosada Premium 1 Kg aprox,"Bandeja de  1000.0 g. aprox |
3,15 €/kg",,"3,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155533/155533.jpg,"<img aria-describedby=""product-608701706"" alt=""Uva rosada Premium 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/155533/155533.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/155533/155533.jpg"" width=""100%""> <p class=""title-product"">
Uva rosada Premium 1 Kg aprox</p>"
,,,,,,
