Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
"Pechuga de Pollo Entera Carrefour 1,1 kg aprox","Bandeja de 1100.0 g. aprox |
5,39 €/kg",,"5,93 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/765479/765479.jpg,"<img aria-describedby=""product-762341814"" alt=""Pechuga de Pollo Entera Carrefour 1,1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/765479/765479.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/765479/765479.jpg"" width=""100%""> <p class=""title-product"">
Pechuga de Pollo Entera Carrefour 1,1 kg aprox</p>"
Traseros de Pollo Carrefour 800 g aprox,"Badeja de  800.0 g. aprox |
1,89 €/kg","1,51 €",,"1,87 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/765475/765475.jpg,"<img aria-describedby=""product-767508125"" alt=""Traseros de Pollo Carrefour 800 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/765475/765475.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/765475/765475.jpg"" width=""100%""> <p class=""title-product"">
Traseros de Pollo Carrefour 800 g aprox</p>"
Pollo Filetes de Pechuga Extrafino Roler 320 g,"Bandeja de 320 g. |
10,00 €/kg",,"3,20 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/324133/324133.jpg,"<img aria-describedby=""product-711907656"" alt=""Pollo Filetes de Pechuga Extrafino Roler 320 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/324133/324133.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/324133/324133.jpg"" width=""100%""> <p class=""title-product"">
Pollo Filetes de Pechuga Extrafino Roler 320 g</p>"
Pechuga de pavo fileteada Carrefour 600 g aprox,"Bandeja de 600.0 g. aprox |
6,75 €/kg","4,05 €",,"4,08 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039636/039636.jpg,"<img aria-describedby=""product-prod920182"" alt=""Pechuga de pavo fileteada Carrefour 600 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039636/039636.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039636/039636.jpg"" width=""100%""> <p class=""title-product"">
Pechuga de pavo fileteada Carrefour 600 g aprox</p>"
Pechuga de Pollo Fileteada Entera Carrefour 1 kg aprox,"Bandeja de  1000.0 g. aprox |
5,95 €/kg","5,95 €",,"7,11 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/471148/471148.jpg,"<img aria-describedby=""product-714713283"" alt=""Pechuga de Pollo Fileteada Entera Carrefour 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/471148/471148.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/471148/471148.jpg"" width=""100%""> <p class=""title-product"">
Pechuga de Pollo Fileteada Entera Carrefour 1 kg aprox</p>"
Jamoncitos de Pollo Carrefour 1 kg aprox,"Bandeja de 1000.0 g. aprox |
3,95 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/962349/962349.jpg,"<img aria-describedby=""product-830700192"" alt=""Jamoncitos de Pollo Carrefour 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/962349/962349.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/962349/962349.jpg"" width=""100%""> <p class=""title-product"">
Jamoncitos de Pollo Carrefour 1 kg aprox</p>"
Solomillo de pavo Carrefour duplo 600 g aprox,"Envase de  600.0 g. aprox |
6,00 €/kg",,"3,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039639/039639.jpg,"<img aria-describedby=""product-prod920183"" alt=""Solomillo de pavo Carrefour duplo 600 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039639/039639.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039639/039639.jpg"" width=""100%""> <p class=""title-product"">
Solomillo de pavo Carrefour duplo 600 g aprox</p>"
Traseros de Pollo Carrefour 700 g aprox,"Bandeja de 700.0 g. aprox |
1,89 €/kg","1,32 €",,"1,64 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/293112/293112.jpg,"<img aria-describedby=""product-713621740"" alt=""Traseros de Pollo Carrefour 700 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/293112/293112.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/293112/293112.jpg"" width=""100%""> <p class=""title-product"">
Traseros de Pollo Carrefour 700 g aprox</p>"
Alas de Pollo Carrefour 650 g aprox,"Bandeja de 650.0 g. aprox |
3,50 €/kg",,"2,27 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/293104/293104.jpg,"<img aria-describedby=""product-773501317"" alt=""Alas de Pollo Carrefour 650 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/293104/293104.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/293104/293104.jpg"" width=""100%""> <p class=""title-product"">
Alas de Pollo Carrefour 650 g aprox</p>"
Pechuga de Pollo Campero Fileteada Calidad y Origen Carrefour 500 g aprox,"Bandeja de 500.0 g. aprox |
13,40 €/kg",,"6,70 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/826982/826982.jpg,"<img aria-describedby=""product-prod460402"" alt=""Pechuga de Pollo Campero Fileteada Calidad y Origen Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/826982/826982.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/826982/826982.jpg"" width=""100%""> <p class=""title-product"">
Pechuga de Pollo Campero Fileteada Calidad y Origen Carrefour 500 g aprox</p>"
