Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Preparado de carne picada mixta (Vacuno y Cerdo) Carrefour doble seno 900 g,"Bandeja de 900 g |
6,56 €/kg","5,90 €",,"5,99 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278310/278310.jpg,"<img aria-describedby=""product-fprod1220397"" alt=""Preparado de carne picada mixta (Vacuno y Cerdo) Carrefour doble seno 900 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278310/278310.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/278310/278310.jpg"" width=""100%""> <p class=""title-product"">
Preparado de carne picada mixta (Vacuno y Cerdo) Carrefour doble seno 900 g</p>"
Preparado de carne picada de Vacuno (Añojo) Carrefour doble seno 900 g,"Bandeja de 900 g |
6,56 €/kg","5,90 €",,"5,99 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278448/278448.jpg,"<img aria-describedby=""product-fprod1220428"" alt=""Preparado de carne picada de Vacuno (Añojo) Carrefour doble seno 900 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278448/278448.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/278448/278448.jpg"" width=""100%""> <p class=""title-product"">
Preparado de carne picada de Vacuno (Añojo) Carrefour doble seno 900 g</p>"
Carne Picada de Vacuno Carrefour 400 g,"Bandeja de 400 g |
8,00 €/kg",,"3,20 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/679091/679091.jpg,"<img aria-describedby=""product-521032766"" alt=""Carne Picada de Vacuno Carrefour 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/679091/679091.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/679091/679091.jpg"" width=""100%""> <p class=""title-product"">
Carne Picada de Vacuno Carrefour 400 g</p>"
Picada de Añojo Carrefour Calidad y Origen 400 g,"Envase de |
9,75 €/kg",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg,"<img aria-describedby=""product-prod1070062"" alt=""Picada de Añojo Carrefour Calidad y Origen 400 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg"" width=""100%""> <p class=""title-product"">
Picada de Añojo Carrefour Calidad y Origen 400 g </p>"
Carne Picada de Pollo Carrefour 400 g,"Bandeja de 400 g |
7,48 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/399415/399415.jpg,"<img aria-describedby=""product-609801330"" alt=""Carne Picada de Pollo Carrefour 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/399415/399415.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/399415/399415.jpg"" width=""100%""> <p class=""title-product"">
Carne Picada de Pollo Carrefour 400 g</p>"
Picada de vacuno ecológico Carrefour Bio 400 g,"400 g |
9,75 €/kg",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126472/126472.jpg,"<img aria-describedby=""product-prod1070058"" alt=""Picada de vacuno ecológico Carrefour Bio 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126472/126472.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126472/126472.jpg"" width=""100%""> <p class=""title-product"">
Picada de vacuno ecológico Carrefour Bio 400 g</p>"
Carne Picada Mixta (Vacuno y Cerdo) Carrefour 400 g,"Bandeja de 400 g |
7,75 €/kg",,"3,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/679100/679100.jpg,"<img aria-describedby=""product-521032770"" alt=""Carne Picada Mixta (Vacuno y Cerdo) Carrefour 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/679100/679100.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/679100/679100.jpg"" width=""100%""> <p class=""title-product"">
Carne Picada Mixta (Vacuno y Cerdo) Carrefour 400 g</p>"
Albóndigas de Cerdo Carrefour 12 unds 400 g,"Bandeja de 400 g. |
4,98 €/kg",,"1,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795473/795473.jpg,"<img aria-describedby=""product-526530170"" alt=""Albóndigas de Cerdo Carrefour 12 unds 400 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795473/795473.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/795473/795473.jpg"" width=""100%""> <p class=""title-product"">
Albóndigas de Cerdo Carrefour 12 unds 400 g </p>"
Picada mixta (vacuno-cerdo) s/aditivos Carrefour 1 Kg aprox,"Envase de 1000.0 g. aprox |
6,60 €/kg",,"6,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/856244/856244.jpg,"<img aria-describedby=""product-prod731290"" alt=""Picada mixta (vacuno-cerdo) s/aditivos Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/856244/856244.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/856244/856244.jpg"" width=""100%""> <p class=""title-product"">
Picada mixta (vacuno-cerdo) s/aditivos Carrefour 1 Kg aprox</p>"
Preparado de Carne Picada de Cerdo Carrefour doble seno 900 g,"Bandeja de 900 g |
5,11 €/kg",,"4,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278304/278304.jpg,"<img aria-describedby=""product-fprod1220400"" alt=""Preparado de Carne Picada de Cerdo Carrefour doble seno 900 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/278304/278304.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/278304/278304.jpg"" width=""100%""> <p class=""title-product"">
Preparado de Carne Picada de Cerdo Carrefour doble seno 900 g</p>"
Carne Picada de Cerdo Ibérico Legado ElPozo 400 g,"Bandeja de 400 g |
7,12 €/kg",,"2,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/360568/360568.jpg,"<img aria-describedby=""product-607902468"" alt=""Carne Picada de Cerdo Ibérico Legado ElPozo 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/360568/360568.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/360568/360568.jpg"" width=""100%""> <p class=""title-product"">
Carne Picada de Cerdo Ibérico Legado ElPozo 400 g</p>"
Carne picada de pavo Matachín 400 g,"400 g |
7,12 €/kg",,"2,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032795/032795.jpg,"<img aria-describedby=""product-prod890032"" alt=""Carne picada de pavo Matachín 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032795/032795.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/032795/032795.jpg"" width=""100%""> <p class=""title-product"">
Carne picada de pavo Matachín 400 g</p>"
Carne Picada de Vacuno Carrefour 450 g,"Bandeja de  450.0 g. aprox |
7,99 €/kg",,"3,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/071812/071812.jpg,"<img aria-describedby=""product-794609461"" alt=""Carne Picada de Vacuno Carrefour 450 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/071812/071812.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/071812/071812.jpg"" width=""100%""> <p class=""title-product"">
Carne Picada de Vacuno Carrefour 450 g</p>"
Preparado de Carne Picada de Vacuno Carrefour 300 g,"Bandeja de 300 g. |
13,00 €/kg",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795113/795113.jpg,"<img aria-describedby=""product-526414639"" alt=""Preparado de Carne Picada de Vacuno Carrefour 300 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795113/795113.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/795113/795113.jpg"" width=""100%""> <p class=""title-product"">
Preparado de Carne Picada de Vacuno Carrefour 300 g </p>"
