Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Carrillada de cerdo ElPozo 300 g aprox,"Bandeja de  300.0 g. aprox |
9,10 €/kg",,"2,73 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078928/078928.jpg,"<img aria-describedby=""product-525702451"" alt=""Carrillada de cerdo ElPozo 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078928/078928.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/078928/078928.jpg"" width=""100%""> <p class=""title-product"">
Carrillada de cerdo ElPozo 300 g aprox</p>"
Manos de cerdo Carrefour al vacío 500 g,"Bandeja de  500.0 g. aprox |
4,00 €/kg",,"2,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/876055/876055.jpg,"<img aria-describedby=""product-785509643"" alt=""Manos de cerdo Carrefour al vacío 500 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/876055/876055.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/876055/876055.jpg"" width=""100%""> <p class=""title-product"">
Manos de cerdo Carrefour al vacío 500 g </p>"
Tocino de lomo de cerdo ElPozo al vacío 500 g aprox,"Bandeja de  500.0 g. aprox |
3,30 €/kg",,"1,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867503/867503.jpg,"<img aria-describedby=""product-782401293"" alt=""Tocino de lomo de cerdo ElPozo al vacío 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867503/867503.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/867503/867503.jpg"" width=""100%""> <p class=""title-product"">
Tocino de lomo de cerdo ElPozo al vacío 500 g aprox</p>"
Oreja de cerdo ElPozo 200 g aprox,"Bandeja de  200.0 g. aprox |
6,90 €/kg",,"1,38 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867509/867509.jpg,"<img aria-describedby=""product-782401303"" alt=""Oreja de cerdo ElPozo 200 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867509/867509.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/867509/867509.jpg"" width=""100%""> <p class=""title-product"">
Oreja de cerdo ElPozo 200 g aprox</p>"
Rabo de cerdo al vacío ElPozo 400 g aprox,"Bandeja de  400.0 g. aprox |
3,95 €/kg",,"1,58 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867469/867469.jpg,"<img aria-describedby=""product-782401279"" alt=""Rabo de cerdo al vacío ElPozo 400 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867469/867469.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/867469/867469.jpg"" width=""100%""> <p class=""title-product"">
Rabo de cerdo al vacío ElPozo 400 g aprox</p>"
Higado de cerdo ElPozo 300 g aprox,"Bandeja de  300.0 g. aprox |
3,00 €/kg",,"0,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867504/867504.jpg,"<img aria-describedby=""product-782401295"" alt=""Higado de cerdo ElPozo 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867504/867504.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/867504/867504.jpg"" width=""100%""> <p class=""title-product"">
Higado de cerdo ElPozo 300 g aprox</p>"
Careta de cerdo entera ElPozo 470 g aprox,"Bandeja de  470.0 g. aprox |
4,20 €/kg",,"1,97 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/792685/792685.jpg,"<img aria-describedby=""product-607225224"" alt=""Careta de cerdo entera ElPozo 470 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/792685/792685.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/792685/792685.jpg"" width=""100%""> <p class=""title-product"">
Careta de cerdo entera ElPozo 470 g aprox</p>"
Careta de cerdo ElPozo 350 g aprox,"Bandeja de  350.0 g. aprox |
4,65 €/kg",,"1,63 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867505/867505.jpg,"<img aria-describedby=""product-prod60097"" alt=""Careta de cerdo ElPozo 350 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/867505/867505.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/867505/867505.jpg"" width=""100%""> <p class=""title-product"">
Careta de cerdo ElPozo 350 g aprox</p>"
Sesos de cerdo ElPozo 200 g,"Bandeja de |
7,50 €/kg",,"1,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078920/078920.jpg,"<img aria-describedby=""product-609202156"" alt=""Sesos de cerdo ElPozo 200 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078920/078920.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/078920/078920.jpg"" width=""100%""> <p class=""title-product"">
Sesos de cerdo ElPozo 200 g</p>"
Gallinejas de cordero Cárnicas Meca 250 g aprox,"Envase de 250.0 g. aprox |
9,50 €/kg",,"2,37 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/288077/288077.jpg,"<img aria-describedby=""product-prod65681"" alt=""Gallinejas de cordero Cárnicas Meca 250 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/288077/288077.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/288077/288077.jpg"" width=""100%""> <p class=""title-product"">
Gallinejas de cordero Cárnicas Meca 250 g aprox</p>"
,,,,,,
