Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Solomillo de Cerdo Carrefour 1 kg aprox,"Bandeja de 1000.0 g. aprox |
6,99 €/kg","6,99 €",,"7,89 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/714035/714035.jpg,"<img aria-describedby=""product-522714133"" alt=""Solomillo de Cerdo Carrefour 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/714035/714035.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/714035/714035.jpg"" width=""100%""> <p class=""title-product"">
Solomillo de Cerdo Carrefour 1 kg aprox</p>"
Lomo de Cerdo Extra Adobado Fileteado Carreofour 650 g,"Bandeja de  650.0 g. aprox |
6,50 €/kg","4,22 €",,"4,42 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/234156/234156.jpg,"<img aria-describedby=""product-560404854"" alt=""Lomo de Cerdo Extra Adobado Fileteado Carreofour 650 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/234156/234156.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/234156/234156.jpg"" width=""100%""> <p class=""title-product"">
Lomo de Cerdo Extra Adobado Fileteado Carreofour 650 g</p>"
Cinta Lomo de Cerdo Extratierna ElPozo 660 g,"600 g. |
6,65 €/kg",,"3,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/284171/284171.jpg,"<img aria-describedby=""product-605301855"" alt=""Cinta Lomo de Cerdo Extratierna ElPozo 660 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/284171/284171.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/284171/284171.jpg"" width=""100%""> <p class=""title-product"">
Cinta Lomo de Cerdo Extratierna ElPozo 660 g</p>"
"Trozo Lomo de Cerdo Carrefour 1,2 kg aprox","Bandeja de 1200.0 g. aprox |
3,99 €/kg","4,79 €",,"5,39 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073066/073066.jpg,"<img aria-describedby=""product-684403414"" alt=""Trozo Lomo de Cerdo Carrefour 1,2 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/073066/073066.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/073066/073066.jpg"" width=""100%""> <p class=""title-product"">
Trozo Lomo de Cerdo Carrefour 1,2 kg aprox</p>"
Costilla de Cerdo Semicarnuda Carrefour 500 g aprox,"Bandeja de  500.0 g. aprox |
4,15 €/kg","2,07 €",,"2,35 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/283230/283230.jpg,"<img aria-describedby=""product-prod231103"" alt=""Costilla de Cerdo Semicarnuda Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/283230/283230.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/283230/283230.jpg"" width=""100%""> <p class=""title-product"">
Costilla de Cerdo Semicarnuda Carrefour 500 g aprox</p>"
Estofado Jamón de Cerdo Carrefour 500 g aprox,"Bandeja de  500.0 g. aprox |
4,90 €/kg",,"2,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047350/047350.jpg,"<img aria-describedby=""product-521032507"" alt=""Estofado Jamón de Cerdo Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047350/047350.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/047350/047350.jpg"" width=""100%""> <p class=""title-product"">
Estofado Jamón de Cerdo Carrefour 500 g aprox</p>"
Lomo de Cerdo Entero Carrefour 1 kg aprox,"Bandeja de 1000.0 g. aprox |
3,99 €/kg","3,99 €",,"4,49 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/593092/593092.jpg,"<img aria-describedby=""product-607403077"" alt=""Lomo de Cerdo Entero Carrefour 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/593092/593092.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/593092/593092.jpg"" width=""100%""> <p class=""title-product"">
Lomo de Cerdo Entero Carrefour 1 kg aprox</p>"
Chuletas Lomo de Cerdo Entero Carrefour 500 g aprox,"Bandeja de  500.0 g. aprox |
5,30 €/kg",,"2,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047330/047330.jpg,"<img aria-describedby=""product-521032491"" alt=""Chuletas Lomo de Cerdo Entero Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047330/047330.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/047330/047330.jpg"" width=""100%""> <p class=""title-product"">
Chuletas Lomo de Cerdo Entero Carrefour 500 g aprox</p>"
Filetes Cinta de Lomo de Cerdo Carrefour 800 g aprox,"Bandeja de  800.0 g. aprox |
6,40 €/kg",,"5,12 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/620851/620851.jpg,"<img aria-describedby=""product-521032487"" alt=""Filetes Cinta de Lomo de Cerdo Carrefour 800 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/620851/620851.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/620851/620851.jpg"" width=""100%""> <p class=""title-product"">
Filetes Cinta de Lomo de Cerdo Carrefour 800 g aprox</p>"
Chuletas de Aguja Cerdo Carrefour 1 kg aprox,"Bandeja de 1000.0 g. aprox |
4,60 €/kg",,"4,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047327/047327.jpg,"<img aria-describedby=""product-609201994"" alt=""Chuletas de Aguja Cerdo Carrefour 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/047327/047327.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/047327/047327.jpg"" width=""100%""> <p class=""title-product"">
Chuletas de Aguja Cerdo Carrefour 1 kg aprox</p>"
