Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Salchicha Blanca Sin Aditivo Carrefour 360 g,"360 g. |
8,33 €/kg",,"3,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822593/822593.jpg,"<img aria-describedby=""product-prod420140"" alt=""Salchicha Blanca Sin Aditivo Carrefour 360 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822593/822593.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/822593/822593.jpg"" width=""100%""> <p class=""title-product"">
Salchicha Blanca Sin Aditivo Carrefour 360 g</p>"
Longaniza Blanca de Cerdo Fresca ElPozo 650 g,"650 g. |
4,60 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/042813/042813.jpg,"<img aria-describedby=""product-521032764"" alt=""Longaniza Blanca de Cerdo Fresca ElPozo 650 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/042813/042813.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/042813/042813.jpg"" width=""100%""> <p class=""title-product"">
Longaniza Blanca de Cerdo Fresca ElPozo 650 g</p>"
Chorizo oreado La Nuncia 320 g,"Envase de |
6,19 €/kg",,"1,98 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095641/095641.jpg,"<img aria-describedby=""product-prod1020260"" alt=""Chorizo oreado La Nuncia 320 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095641/095641.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/095641/095641.jpg"" width=""100%""> <p class=""title-product"">
Chorizo oreado La Nuncia 320 g</p>"
Brocheta de Pollo 4 Embutidos del Centro 4 ud,"4 ud. |
0,66 €/ud",,"2,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795671/795671.jpg,"<img aria-describedby=""product-607225687"" alt=""Brocheta de Pollo 4 Embutidos del Centro 4 ud"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795671/795671.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/795671/795671.jpg"" width=""100%""> <p class=""title-product"">
Brocheta de Pollo 4 Embutidos del Centro 4 ud</p>"
Longaniza Blanca La Nuncia 500 g,"500 g |
5,00 €/kg",,"2,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/769477/769477.jpg,"<img aria-describedby=""product-761104986"" alt=""Longaniza Blanca La Nuncia 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/769477/769477.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/769477/769477.jpg"" width=""100%""> <p class=""title-product"">
Longaniza Blanca La Nuncia 500 g</p>"
Chistorra Sin Aditivos Carrefour 300 g,"300 g. |
4,50 €/kg",,"1,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822597/822597.jpg,"<img aria-describedby=""product-prod420145"" alt=""Chistorra Sin Aditivos Carrefour 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822597/822597.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/822597/822597.jpg"" width=""100%""> <p class=""title-product"">
Chistorra Sin Aditivos Carrefour 300 g</p>"
Butifarra Blanca Fresca Carrrefour Sin Aditivos 500 g,"500 g. |
6,80 €/kg",,"3,40 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822601/822601.jpg,"<img aria-describedby=""product-prod420152"" alt=""Butifarra Blanca Fresca Carrrefour Sin Aditivos 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822601/822601.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/822601/822601.jpg"" width=""100%""> <p class=""title-product"">
Butifarra Blanca Fresca Carrrefour Sin Aditivos 500 g</p>"
Salchichas frescas de pollo de corral Coren 350 g,"Envase de |
12,29 €/kg",,"4,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/270270/270270.jpg,"<img aria-describedby=""product-prod720728"" alt=""Salchichas frescas de pollo de corral Coren 350 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/270270/270270.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/270270/270270.jpg"" width=""100%""> <p class=""title-product"">
Salchichas frescas de pollo de corral Coren 350 g</p>"
Morcilla de Burgos Embutidos Ríos 660 g,"660 g. |
3,91 €/kg",,"2,58 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/791459/791459.jpg,"<img aria-describedby=""product-527031526"" alt=""Morcilla de Burgos Embutidos Ríos 660 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/791459/791459.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/791459/791459.jpg"" width=""100%""> <p class=""title-product"">
Morcilla de Burgos Embutidos Ríos 660 g</p>"
Chorizo Oreado Sin Aditivos Carrefour 400 g,"400 g. |
8,50 €/kg",,"3,40 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822598/822598.jpg,"<img aria-describedby=""product-prod420144"" alt=""Chorizo Oreado Sin Aditivos Carrefour 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/822598/822598.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/822598/822598.jpg"" width=""100%""> <p class=""title-product"">
Chorizo Oreado Sin Aditivos Carrefour 400 g</p>"
