Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Solomillo de Pollo Marinado Empanado ElPozo 500 g,"Bandeja de 500 g. 500.0 g. aprox |
6,75 €/kg",,"3,37 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/955676/955676.jpg,"<img aria-describedby=""product-826005231"" alt=""Solomillo de Pollo Marinado Empanado ElPozo 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/955676/955676.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/955676/955676.jpg"" width=""100%""> <p class=""title-product"">
Solomillo de Pollo Marinado Empanado ElPozo 500 g</p>"
Albóndigas 100% de pavo Matachín 380 g,"380 g |
7,50 €/kg",,"2,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032745/032745.jpg,"<img aria-describedby=""product-prod890034"" alt=""Albóndigas 100% de pavo Matachín 380 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032745/032745.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/032745/032745.jpg"" width=""100%""> <p class=""title-product"">
Albóndigas 100% de pavo Matachín 380 g</p>"
Albondigas de Pollo Mesana 400 g,"400 g. |
6,25 €/kg",,"2,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039971/039971.jpg,"<img aria-describedby=""product-677310549"" alt=""Albondigas de Pollo Mesana 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039971/039971.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039971/039971.jpg"" width=""100%""> <p class=""title-product"">
Albondigas de Pollo Mesana 400 g</p>"
Flautas de pollo y queso Carrefour 280 g,"280 g. |
5,71 €/kg",,"1,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/804431/804431.jpg,"<img aria-describedby=""product-719204071"" alt=""Flautas de pollo y queso Carrefour 280 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/804431/804431.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/804431/804431.jpg"" width=""100%""> <p class=""title-product"">
Flautas de pollo y queso Carrefour 280 g</p>"
Nuggets de Pollo Carrefour 400 g,"Bandeja de 400 g. |
5,00 €/kg",,"2,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039621/039621.jpg,"<img aria-describedby=""product-677310443"" alt=""Nuggets de Pollo Carrefour 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039621/039621.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039621/039621.jpg"" width=""100%""> <p class=""title-product"">
Nuggets de Pollo Carrefour 400 g</p>"
San Jacobo de Jamón Cocido Extra y Queso Mesana 400 g,"Envase de 400 g. |
4,10 €/kg",,"1,64 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039613/039613.jpg,"<img aria-describedby=""product-677310435"" alt=""San Jacobo de Jamón Cocido Extra y Queso Mesana 400 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039613/039613.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039613/039613.jpg"" width=""100%""> <p class=""title-product"">
San Jacobo de Jamón Cocido Extra y Queso Mesana 400 g</p>"
Flautas de bacon y Queso Carrefour 280 g,"280 g |
5,71 €/ud",,"1,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/409408/409408.jpg,"<img aria-describedby=""product-704502375"" alt=""Flautas de bacon y Queso Carrefour 280 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/409408/409408.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/409408/409408.jpg"" width=""100%""> <p class=""title-product"">
Flautas de bacon y Queso Carrefour 280 g</p>"
Escalope de Pollo Mesana 300 g,"300 g. |
6,67 €/kg",,"2,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039635/039635.jpg,"<img aria-describedby=""product-677310453"" alt=""Escalope de Pollo Mesana 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039635/039635.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039635/039635.jpg"" width=""100%""> <p class=""title-product"">
Escalope de Pollo Mesana 300 g</p>"
Flautas de jamón cocido extra y queso Carrefour 280 g,"280 g. |
5,71 €/kg",,"1,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/804426/804426.jpg,"<img aria-describedby=""product-627501639"" alt=""Flautas de jamón cocido extra y queso Carrefour 280 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/804426/804426.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/804426/804426.jpg"" width=""100%""> <p class=""title-product"">
Flautas de jamón cocido extra y queso Carrefour 280 g</p>"
Escalope de Cerdo Mesana 315 g,"Bandeja de 315 g. |
4,76 €/kg",,"1,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039644/039644.jpg,"<img aria-describedby=""product-677310465"" alt=""Escalope de Cerdo Mesana 315 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/039644/039644.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/039644/039644.jpg"" width=""100%""> <p class=""title-product"">
Escalope de Cerdo Mesana 315 g</p>"
