Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Hamburguesa de Vacuno Carrefour (6x90g) 540 g,"Bandeja de 6x90 g. |
6,67 €/kg",,"3,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/473775/473775.jpg,"<img aria-describedby=""product-521034404"" alt=""Hamburguesa de Vacuno Carrefour (6x90g) 540 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/473775/473775.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/473775/473775.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Vacuno Carrefour (6x90g) 540 g </p>"
Hamburguesa de Pavo C/ Espinacas Kovo (4x78g) 313 g,"313 g. |
8,12 €/kg",,"2,54 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988625/988625.jpg,"<img aria-describedby=""product-prod64604"" alt=""Hamburguesa de Pavo C/ Espinacas Kovo (4x78g) 313 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/988625/988625.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/988625/988625.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Pavo C/ Espinacas Kovo (4x78g) 313 g</p>"
Hamburguesa Vacuno Carrefour Envase Familiar (8x125g) 1 Kg,"8x125 g. |
4,99 €/kg",,"4,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666507/666507.jpg,"<img aria-describedby=""product-521035573"" alt=""Hamburguesa Vacuno Carrefour Envase Familiar (8x125g) 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666507/666507.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/666507/666507.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa Vacuno Carrefour Envase Familiar (8x125g) 1 Kg</p>"
Hamburguesa de Pollo Carrefour (6x90g) 540 g,"Bandeja de 6 u. 540 g. |
6,46 €/kg",,"3,49 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/399403/399403.jpg,"<img aria-describedby=""product-609801320"" alt=""Hamburguesa de Pollo Carrefour (6x90g) 540 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/399403/399403.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/399403/399403.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Pollo Carrefour (6x90g) 540 g</p>"
Hamburguesa de Vacuno Burger Meat Mini El Encinar de Humienta (8x45) 360 g,"360 g. |
8,31 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/828537/828537.jpg,"<img aria-describedby=""product-prod480117"" alt=""Hamburguesa de Vacuno Burger Meat Mini El Encinar de Humienta (8x45) 360 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/828537/828537.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/828537/828537.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Vacuno Burger Meat Mini El Encinar de Humienta (8x45) 360 g</p>"
Hamburguesas de Añojo Carrefour Calidad y Origen 240 g,"Envase de |
9,79 €/kg",,"2,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg,"<img aria-describedby=""product-prod1070063"" alt=""Hamburguesas de Añojo Carrefour Calidad y Origen 240 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesas de Añojo Carrefour Calidad y Origen 240 g</p>"
Hamburguesa de Vacuno Burguer Meat Original Extremadura El Encinar Humienta 360 g,"150 g. aprox |
19,93 €/kg",,"2,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/972445/972445.jpg,"<img aria-describedby=""product-prod60851"" alt=""Hamburguesa de Vacuno Burguer Meat Original Extremadura El Encinar Humienta 360 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/972445/972445.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/972445/972445.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Vacuno Burguer Meat Original Extremadura El Encinar Humienta 360 g</p>"
Hamburguesa de Vacuno Angus Sin Aditivos Roler (2x150g) 300 g,"2x150 g |
15,00 €/kg",,"4,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/174707/174707.jpg,"<img aria-describedby=""product-869308435"" alt=""Hamburguesa de Vacuno Angus Sin Aditivos Roler (2x150g) 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/174707/174707.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/174707/174707.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de Vacuno Angus Sin Aditivos Roler (2x150g) 300 g</p>"
Hamburguesa de añojo ecológica Carrefour Bio bandeja 2 ud,"240 g |
10,00 €/kg",,"2,40 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126474/126474.jpg,"<img aria-describedby=""product-prod1070059"" alt=""Hamburguesa de añojo ecológica Carrefour Bio bandeja 2 ud "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126474/126474.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126474/126474.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa de añojo ecológica Carrefour Bio bandeja 2 ud </p>"
Hamburguesa Mixta (Vacuno y Cerdo) Carrefour (6x90g) 540 g,"Bandeja de 6x90 g. |
6,20 €/kg",,"3,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/582340/582340.jpg,"<img aria-describedby=""product-521034994"" alt=""Hamburguesa Mixta (Vacuno y Cerdo) Carrefour (6x90g) 540 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/582340/582340.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/582340/582340.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesa Mixta (Vacuno y Cerdo) Carrefour (6x90g) 540 g</p>"
