Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
"Redondo de añojo Carrefour Calidad y Origen limpio entero sin corte 3,5 Kg aprox","Pieza de 3500.0 g. aprox |
9,90 €/kg",,"34,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318897/318897.jpg,"<img aria-describedby=""product-fprod1260130"" alt=""Redondo de añojo Carrefour Calidad y Origen limpio entero sin corte 3,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318897/318897.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318897/318897.jpg"" width=""100%""> <p class=""title-product"">
Redondo de añojo Carrefour Calidad y Origen limpio entero sin corte 3,5 Kg aprox</p>"
"Cinta de lomo de cerdo limpia y pulida pieza entera sin corte 4,5 Kg aprox","Pieza de 4500.0 g. aprox |
5,00 €/kg",,"22,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/764351/764351.jpg,"<img aria-describedby=""product-prod730232"" alt=""Cinta de lomo de cerdo limpia y pulida pieza entera sin corte 4,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/764351/764351.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/764351/764351.jpg"" width=""100%""> <p class=""title-product"">
Cinta de lomo de cerdo limpia y pulida pieza entera sin corte 4,5 Kg aprox</p>"
"Tapilla/Picaña de añojo Carrefour Calidad y Origen limpia entera sin corte 3,5 Kg aprox","Pieza de 3500.0 g. aprox |
9,90 €/kg",,"34,65 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318912/318912.jpg,"<img aria-describedby=""product-fprod1260091"" alt=""Tapilla/Picaña de añojo Carrefour Calidad y Origen limpia entera sin corte 3,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318912/318912.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318912/318912.jpg"" width=""100%""> <p class=""title-product"">
Tapilla/Picaña de añojo Carrefour Calidad y Origen limpia entera sin corte 3,5 Kg aprox</p>"
"Costillar de cerdo limpio y pulido pieza entera sin corte 4,5 Kg aprox","Pieza de 4500.0 g. aprox |
6,70 €/kg",,"30,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077512/077512.jpg,"<img aria-describedby=""product-prod570354"" alt=""Costillar de cerdo limpio y pulido pieza entera sin corte 4,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077512/077512.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/077512/077512.jpg"" width=""100%""> <p class=""title-product"">
Costillar de cerdo limpio y pulido pieza entera sin corte 4,5 Kg aprox</p>"
Panceta con costilla de cerdo limpia y pulida pieza entera sin corte 4 Kg aprox,"Pieza de 4000.0 g. aprox |
5,90 €/kg",,"23,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/764556/764556.jpg,"<img aria-describedby=""product-prod730528"" alt=""Panceta con costilla de cerdo limpia y pulida pieza entera sin corte 4 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/764556/764556.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/764556/764556.jpg"" width=""100%""> <p class=""title-product"">
Panceta con costilla de cerdo limpia y pulida pieza entera sin corte 4 Kg aprox</p>"
Jamón de cerdo limpio entero sin corte 7 Kg aprox,"Pieza de 7000.0 g. aprox |
5,40 €/kg",,"37,80 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077516/077516.jpg,"<img aria-describedby=""product-prod720605"" alt=""Jamón de cerdo limpio entero sin corte 7 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077516/077516.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/077516/077516.jpg"" width=""100%""> <p class=""title-product"">
Jamón de cerdo limpio entero sin corte 7 Kg aprox</p>"
Lomo bajo de añojo Carrefour Calidad y Origen limpio entero sin corte 6 Kg aprox,"Pieza de 6000.0 g. aprox |
13,60 €/kg","81,60 €",,"101,40 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318894/318894.jpg,"<img aria-describedby=""product-fprod1260132"" alt=""Lomo bajo de añojo Carrefour Calidad y Origen limpio entero sin corte 6 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318894/318894.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318894/318894.jpg"" width=""100%""> <p class=""title-product"">
Lomo bajo de añojo Carrefour Calidad y Origen limpio entero sin corte 6 Kg aprox</p>"
"Aguja c/hueso de cerdo limpia y pulida pieza entera sin corte 3,5 Kg aprox","Pieza de 3500.0 g. aprox |
4,90 €/kg",,"17,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077508/077508.jpg,"<img aria-describedby=""product-prod720611"" alt=""Aguja c/hueso de cerdo limpia y pulida pieza entera sin corte 3,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/077508/077508.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/077508/077508.jpg"" width=""100%""> <p class=""title-product"">
Aguja c/hueso de cerdo limpia y pulida pieza entera sin corte 3,5 Kg aprox</p>"
Lomo alto de añojo Carrefour Calidad y Origen limpio entero sin corte 7 Kg aprox,"Pieza de 7000.0 g. aprox |
13,60 €/kg","95,20 €",,"118,30 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318905/318905.jpg,"<img aria-describedby=""product-fprod1260092"" alt=""Lomo alto de añojo Carrefour Calidad y Origen limpio entero sin corte 7 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318905/318905.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318905/318905.jpg"" width=""100%""> <p class=""title-product"">
Lomo alto de añojo Carrefour Calidad y Origen limpio entero sin corte 7 Kg aprox</p>"
"Cadera de añojo Carrefour Calidad y Origen limpia entera sin corte 4,5 Kg aprox","Pieza de 4500.0 g. aprox |
9,90 €/kg",,"44,55 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318891/318891.jpg,"<img aria-describedby=""product-fprod1260129"" alt=""Cadera de añojo Carrefour Calidad y Origen limpia entera sin corte 4,5 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318891/318891.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318891/318891.jpg"" width=""100%""> <p class=""title-product"">
Cadera de añojo Carrefour Calidad y Origen limpia entera sin corte 4,5 Kg aprox</p>"
Babilla de añojo Carrefour Calidad y Origen limpia entera sin corte 6 Kg aprox,"Pieza de 6000.0 g. aprox |
9,90 €/kg",,"59,40 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318884/318884.jpg,"<img aria-describedby=""product-fprod1260134"" alt=""Babilla de añojo Carrefour Calidad y Origen limpia entera sin corte 6 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318884/318884.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318884/318884.jpg"" width=""100%""> <p class=""title-product"">
Babilla de añojo Carrefour Calidad y Origen limpia entera sin corte 6 Kg aprox</p>"
Tapa de añojo Carrefour Calidad y Origen limpia entera sin corte 7 Kg aprox,"Pieza de 7000.0 g. aprox |
8,90 €/kg",,"62,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318898/318898.jpg,"<img aria-describedby=""product-fprod1260131"" alt=""Tapa de añojo Carrefour Calidad y Origen limpia entera sin corte 7 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/318898/318898.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/318898/318898.jpg"" width=""100%""> <p class=""title-product"">
Tapa de añojo Carrefour Calidad y Origen limpia entera sin corte 7 Kg aprox</p>"
