Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Estofado de Añojo Carrefour Calidad y Origen 500 g,"Bandeja de  500.0 g. aprox |
7,20 €/kg","3,60 €",,"3,80 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842673/842673.jpg,"<img aria-describedby=""product-prod840073"" alt=""Estofado de Añojo Carrefour Calidad y Origen 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842673/842673.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/842673/842673.jpg"" width=""100%""> <p class=""title-product"">
Estofado de Añojo Carrefour Calidad y Origen 500 g</p>"
Picada de Añojo Carrefour Calidad y Origen 400 g,"Envase de |
9,75 €/kg",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg,"<img aria-describedby=""product-prod1070062"" alt=""Picada de Añojo Carrefour Calidad y Origen 400 g "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126715/126715.jpg"" width=""100%""> <p class=""title-product"">
Picada de Añojo Carrefour Calidad y Origen 400 g </p>"
Filete 1ªA de Añojo Carrefour Calidad y Origen 500 g,"Bandeja de  500.0 g. aprox |
10,20 €/kg",,"5,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842659/842659.jpg,"<img aria-describedby=""product-prod840024"" alt=""Filete 1ªA de Añojo Carrefour Calidad y Origen 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842659/842659.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/842659/842659.jpg"" width=""100%""> <p class=""title-product"">
Filete 1ªA de Añojo Carrefour Calidad y Origen 500 g</p>"
Carpaccio de Vacuno Roler 110 g,"Bandeja de 110 g. |
29,55 €/kg",,"3,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/393681/393681.jpg,"<img aria-describedby=""product-607219906"" alt=""Carpaccio de Vacuno Roler 110 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/393681/393681.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/393681/393681.jpg"" width=""100%""> <p class=""title-product"">
Carpaccio de Vacuno Roler 110 g</p>"
Filete 1ªA de Vacuno Carrefour 1 Kg aprox,"Bandeja de 1000.0 g. aprox |
7,95 €/kg","7,95 €",,"9,80 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815348/815348.jpg,"<img aria-describedby=""product-806518341"" alt=""Filete 1ªA de Vacuno Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/815348/815348.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/815348/815348.jpg"" width=""100%""> <p class=""title-product"">
Filete 1ªA de Vacuno Carrefour 1 Kg aprox</p>"
Hamburguesas de Añojo Carrefour Calidad y Origen 240 g,"Envase de |
9,79 €/kg",,"2,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg,"<img aria-describedby=""product-prod1070063"" alt=""Hamburguesas de Añojo Carrefour Calidad y Origen 240 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126711/126711.jpg"" width=""100%""> <p class=""title-product"">
Hamburguesas de Añojo Carrefour Calidad y Origen 240 g</p>"
Aguja de añojo Carrefour Calidad y Origen 500 g aprox,"500 g aprox 500.0 g. aprox |
7,50 €/kg","3,75 €",,"4,35 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842662/842662.jpg,"<img aria-describedby=""product-prod840027"" alt=""Aguja de añojo Carrefour Calidad y Origen 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842662/842662.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/842662/842662.jpg"" width=""100%""> <p class=""title-product"">
Aguja de añojo Carrefour Calidad y Origen 500 g aprox</p>"
Troceada de carne de Añojo para guisar Carrefour Calidad y Origen 300 g aprox,"Envase de 300.0 g. aprox |
7,20 €/kg","2,16 €",,"2,28 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126585/126585.jpg,"<img aria-describedby=""product-prod1070042"" alt=""Troceada de carne de Añojo para guisar Carrefour Calidad y Origen 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/126585/126585.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/126585/126585.jpg"" width=""100%""> <p class=""title-product"">
Troceada de carne de Añojo para guisar Carrefour Calidad y Origen 300 g aprox</p>"
Chuletón de Vacuno Carrefour 600 g,"Bandeja de 600.0 g. aprox |
13,95 €/kg",,"8,37 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/279789/279789.jpg,"<img aria-describedby=""product-608101741"" alt=""Chuletón de Vacuno Carrefour 600 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/279789/279789.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/279789/279789.jpg"" width=""100%""> <p class=""title-product"">
Chuletón de Vacuno Carrefour 600 g</p>"
Morcillo de añojo al corte Carrefour Calidad y Origen 500 g aprox,"500 g aprox 500.0 g. aprox |
7,90 €/kg",,"3,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842655/842655.jpg,"<img aria-describedby=""product-prod840018"" alt=""Morcillo de añojo al corte Carrefour Calidad y Origen 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/842655/842655.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/842655/842655.jpg"" width=""100%""> <p class=""title-product"">
Morcillo de añojo al corte Carrefour Calidad y Origen 500 g aprox</p>"
