Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Guisantes Carrefour 1 kg.,"1 kg. |
1,15 €/kg",,"1,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/181452/181452.jpg,"<img aria-describedby=""product-531705261"" alt=""Guisantes Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/181452/181452.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/181452/181452.jpg"" width=""100%""> <p class=""title-product"">
Guisantes Carrefour 1 kg.</p>"
Brocoli Carrefour 1 kg.,"1 kg. |
1,49 €/kg",,"1,49 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/080726/080726.jpg,"<img aria-describedby=""product-521031630"" alt=""Brocoli Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/080726/080726.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/080726/080726.jpg"" width=""100%""> <p class=""title-product"">
Brocoli Carrefour 1 kg.</p>"
Judías verdes planas Carrefour 1 kg.,"1 kg. |
1,05 €/kg",,"1,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231891/231891.jpg,"<img aria-describedby=""product-521031543"" alt=""Judías verdes planas Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231891/231891.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/231891/231891.jpg"" width=""100%""> <p class=""title-product"">
Judías verdes planas Carrefour 1 kg.</p>"
Guisantes finos Findus 1 kg.,"1 kg. |
3,30 €/kg",,"3,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435057/435057.jpg,"<img aria-describedby=""product-712515237"" alt=""Guisantes finos Findus 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435057/435057.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/435057/435057.jpg"" width=""100%""> <p class=""title-product"">
Guisantes finos Findus 1 kg.</p>"
Cebolla Cubos Carrefour 400 g.,"400 g. |
1,65 €/kg",,"0,66 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/796014/796014.png,"<img aria-describedby=""product-521028257"" alt=""Cebolla Cubos Carrefour 400 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/796014/796014.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/796014/796014.png"" width=""100%""> <p class=""title-product"">
Cebolla Cubos Carrefour 400 g.</p>"
Ensaladilla Carrefour 1 kg.,"1 kg. |
0,75 €/kg",,"0,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/673183/673183.jpg,"<img aria-describedby=""product-530014607"" alt=""Ensaladilla Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/673183/673183.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/673183/673183.jpg"" width=""100%""> <p class=""title-product"">
Ensaladilla Carrefour 1 kg.</p>"
Pimiento en tiras Carrefour 450 g.,"450 g. |
2,22 €/kg",,"1,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/951258/951258.png,"<img aria-describedby=""product-819256948"" alt=""Pimiento en tiras Carrefour 450 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/951258/951258.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/951258/951258.png"" width=""100%""> <p class=""title-product"">
Pimiento en tiras Carrefour 450 g.</p>"
Menestra de verduras Carrefour 1 kg.,"1 kg. |
1,09 €/kg",,"1,09 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231900/231900.png,"<img aria-describedby=""product-804031037"" alt=""Menestra de verduras Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/231900/231900.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/231900/231900.png"" width=""100%""> <p class=""title-product"">
Menestra de verduras Carrefour 1 kg.</p>"
Coliflor congelada Carrefour 1 kg.,"1 kg. |
1,29 €/kg",,"1,29 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666795/666795.jpg,"<img aria-describedby=""product-521031606"" alt=""Coliflor congelada Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666795/666795.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/666795/666795.jpg"" width=""100%""> <p class=""title-product"">
Coliflor congelada Carrefour 1 kg.</p>"
Judía troceada Carrefour 1 kg.,"1 kg. |
1,05 €/kg",,"1,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666738/666738.jpg,"<img aria-describedby=""product-521031547"" alt=""Judía troceada Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/666738/666738.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/666738/666738.jpg"" width=""100%""> <p class=""title-product"">
Judía troceada Carrefour 1 kg.</p>"
Patatas congeladas extra finas Carrefour 1 kg.,"1 kg. |
1,15 €/kg",,"1,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/519612/519612.png,"<img aria-describedby=""product-521031644"" alt=""Patatas congeladas extra finas Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/519612/519612.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/519612/519612.png"" width=""100%""> <p class=""title-product"">
Patatas congeladas extra finas Carrefour 1 kg.</p>"
Espinacas cortadas Carrefour 1 kg.,"1 kg. |
1,19 €/kg",,"1,19 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/673513/673513.png,"<img aria-describedby=""product-521031551"" alt=""Espinacas cortadas Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/673513/673513.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/673513/673513.png"" width=""100%""> <p class=""title-product"">
Espinacas cortadas Carrefour 1 kg.</p>"
"Patatas fritas clásicas congeladas Carrefour 2,5 kg.","2,5 kg. |
0,92 €/kg",,"2,31 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/191326/191326.jpg,"<img aria-describedby=""product-538002716"" alt=""Patatas fritas clásicas congeladas Carrefour 2,5 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/191326/191326.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/191326/191326.jpg"" width=""100%""> <p class=""title-product"">
Patatas fritas clásicas congeladas Carrefour 2,5 kg.</p>"
Menestra de verduras Findus 1 kg.,"1 kg. |
3,30 €/kg",,"3,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435037/435037.jpg,"<img aria-describedby=""product-763300104"" alt=""Menestra de verduras Findus 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435037/435037.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/435037/435037.jpg"" width=""100%""> <p class=""title-product"">
Menestra de verduras Findus 1 kg.</p>"
Patatas fritas clásicas Carrefour 1 kg.,"1 kg. |
1,05 €/kg",,"1,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/776730/776730.jpg,"<img aria-describedby=""product-768405799"" alt=""Patatas fritas clásicas Carrefour 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/776730/776730.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/776730/776730.jpg"" width=""100%""> <p class=""title-product"">
Patatas fritas clásicas Carrefour 1 kg.</p>"
Calabacín en dados congelado Carrefour 450 g.,"450 g. |
2,33 €/kg",,"1,05 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/391653/391653.jpg,"<img aria-describedby=""product-prod860642"" alt=""Calabacín en dados congelado Carrefour 450 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/391653/391653.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/391653/391653.jpg"" width=""100%""> <p class=""title-product"">
Calabacín en dados congelado Carrefour 450 g.</p>"
Calabaza en dados Carrefour 600 g.,"600 g. |
2,28 €/kg",,"1,37 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/824778/824778.jpg,"<img aria-describedby=""product-prod450028"" alt=""Calabaza en dados Carrefour 600 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/824778/824778.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/824778/824778.jpg"" width=""100%""> <p class=""title-product"">
Calabaza en dados Carrefour 600 g.</p>"
Judías verdes planas Findus 1 kg.,"1 kg. |
3,30 €/kg",,"3,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435058/435058.jpg,"<img aria-describedby=""product-712515239"" alt=""Judías verdes planas Findus 1 kg."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/435058/435058.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/435058/435058.jpg"" width=""100%""> <p class=""title-product"">
Judías verdes planas Findus 1 kg.</p>"
