Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Zanahorias  bolsa 1 kg,"1 Kg |
0,69 €/kg",,"0,69 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050271/050271.jpg,"<img aria-describedby=""product-521032256"" alt=""Zanahorias  bolsa 1 kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050271/050271.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/050271/050271.jpg"" width=""100%""> <p class=""title-product"">
Zanahorias  bolsa 1 kg</p>"
Calabacín  1 Kg,"Envase de 1000.0 g. aprox |
0,89 €/kg","0,89 €",,"0,99 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811364/811364.jpg,"<img aria-describedby=""product-636701855"" alt=""Calabacín  1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811364/811364.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/811364/811364.jpg"" width=""100%""> <p class=""title-product"">
Calabacín  1 Kg</p>"
Brocoli Carrefour 500 g,"500 g |
2,78 €/kg",,"1,39 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078932/078932.jpg,"<img aria-describedby=""product-prod1000504"" alt=""Brocoli Carrefour 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/078932/078932.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/078932/078932.jpg"" width=""100%""> <p class=""title-product"">
Brocoli Carrefour 500 g</p>"
Puerro  manojo 3 pz 500 g,"500 g |
0,43 €/ud","1,29 €",,"1,72 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/304172/304172.jpg,"<img aria-describedby=""product-521032287"" alt=""Puerro  manojo 3 pz 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/304172/304172.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/304172/304172.jpg"" width=""100%""> <p class=""title-product"">
Puerro  manojo 3 pz 500 g</p>"
Crema de calabaza con nuez moscada Knorr 450 ml.,"450 ml. |
7,00 €/l",,"3,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032900/032900.jpg,"<img aria-describedby=""product-prod890056"" alt=""Crema de calabaza con nuez moscada Knorr 450 ml."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/032900/032900.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/032900/032900.jpg"" width=""100%""> <p class=""title-product"">
Crema de calabaza con nuez moscada Knorr 450 ml.</p>"
Crema de zanahoria y jengibre Knorr 460 g.,"460 g. |
5,98 €/kg",,"2,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/040551/040551.jpg,"<img aria-describedby=""product-prod920243"" alt=""Crema de zanahoria y jengibre Knorr 460 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/040551/040551.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/040551/040551.jpg"" width=""100%""> <p class=""title-product"">
Crema de zanahoria y jengibre Knorr 460 g.</p>"
Crema de calabaza con verduras frescas Knorr 460 g.,"460 g. |
5,98 €/kg",,"2,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/040552/040552.jpg,"<img aria-describedby=""product-prod920244"" alt=""Crema de calabaza con verduras frescas Knorr 460 g."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/040552/040552.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/040552/040552.jpg"" width=""100%""> <p class=""title-product"">
Crema de calabaza con verduras frescas Knorr 460 g.</p>"
Pimiento verde Italiano  500 g,"500 g |
2,30 €/kg",,"1,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/218664/218664.jpg,"<img aria-describedby=""product-527030823"" alt=""Pimiento verde Italiano  500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/218664/218664.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/218664/218664.jpg"" width=""100%""> <p class=""title-product"">
Pimiento verde Italiano  500 g</p>"
Pimiento rojo  1 Kg,"Envase de 1000.0 g. aprox |
2,59 €/kg",,"2,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811362/811362.jpg,"<img aria-describedby=""product-636701851"" alt=""Pimiento rojo  1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811362/811362.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/811362/811362.jpg"" width=""100%""> <p class=""title-product"">
Pimiento rojo  1 Kg</p>"
"Zanahoria ""Tierra de Sabor""  bolsa 500 g","500 g |
1,10 €/kg",,"0,55 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/270265/270265.jpg,"<img aria-describedby=""product-596701515"" alt=""Zanahoria "" tierra="""" de="""" sabor""="""" bolsa="""" 500="""" g""="""" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/270265/270265.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/270265/270265.jpg"" width=""100%""> <p class=""title-product"">
Zanahoria ""Tierra de Sabor""  bolsa 500 g</p>"
