Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Albahaca ecológico Carrefour Bio maceta,"1 ud. |
0,99 €/ud",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095357/095357.png,"<img aria-describedby=""product-696405270"" alt=""Albahaca ecológico Carrefour Bio maceta"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095357/095357.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/095357/095357.png"" width=""100%""> <p class=""title-product"">
Albahaca ecológico Carrefour Bio maceta</p>"
Cilantro ecológico Carrefour Bio maceta,"1 ud. |
0,99 €/ud",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095181/095181.jpg,"<img aria-describedby=""product-696105174"" alt=""Cilantro ecológico Carrefour Bio maceta"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095181/095181.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/095181/095181.jpg"" width=""100%""> <p class=""title-product"">
Cilantro ecológico Carrefour Bio maceta</p>"
Perejil liso ecológico Carrefour Bio maceta,"1 ud. |
0,99 €/ud",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095175/095175.png,"<img aria-describedby=""product-696105164"" alt=""Perejil liso ecológico Carrefour Bio maceta "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095175/095175.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/095175/095175.png"" width=""100%""> <p class=""title-product"">
Perejil liso ecológico Carrefour Bio maceta </p>"
Romero ecológico Carrefour Bio granel maceta,"Envase de |
3,30 €/kg",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/787777/787777.png,"<img aria-describedby=""product-776704225"" alt=""Romero ecológico Carrefour Bio granel maceta"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/787777/787777.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/787777/787777.png"" width=""100%""> <p class=""title-product"">
Romero ecológico Carrefour Bio granel maceta</p>"
Hierbabuena ecológico Carrefour Bio maceta,"1 ud. |
0,99 €/ud",,"0,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095178/095178.jpg,"<img aria-describedby=""product-696105168"" alt=""Hierbabuena ecológico Carrefour Bio maceta "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/095178/095178.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/095178/095178.jpg"" width=""100%""> <p class=""title-product"">
Hierbabuena ecológico Carrefour Bio maceta </p>"
Miel artesana flores 500 g,"500 g |
7,98 €/kg",,"3,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/989116/989116.jpg,"<img aria-describedby=""product-prod780534"" alt=""Miel artesana flores 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/989116/989116.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/989116/989116.jpg"" width=""100%""> <p class=""title-product"">
Miel artesana flores 500 g</p>"
Miel artesana de azahar monofloral Primo Mendoza 500 g,"500 g. |
9,90 €/kg",,"4,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/882239/882239.jpg,"<img aria-describedby=""product-831627128"" alt=""Miel artesana de azahar monofloral Primo Mendoza 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/882239/882239.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/882239/882239.jpg"" width=""100%""> <p class=""title-product"">
Miel artesana de azahar monofloral Primo Mendoza 500 g</p>"
Té verde con hibisco y jengibre ecológico Ethiquable 20 uds.,"20 ud. |
0,13 €/ud",,"2,60 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/224455/224455.jpg,"<img aria-describedby=""product-fprod1180312"" alt=""Té verde con hibisco y jengibre ecológico Ethiquable 20 uds."" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/224455/224455.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/224455/224455.jpg"" width=""100%""> <p class=""title-product"">
Té verde con hibisco y jengibre ecológico Ethiquable 20 uds.</p>"
Canela ceylan molida tarrina 40 g,"40 g |
50,00 €/kg",,"2,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/268592/268592.png,"<img aria-describedby=""product-prod820379"" alt=""Canela ceylan molida tarrina 40 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/268592/268592.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/268592/268592.png"" width=""100%""> <p class=""title-product"">
Canela ceylan molida tarrina 40 g</p>"
Miel artesana de romero Primo Mendoza 500 g,"500 g |
11,00 €/kg",,"5,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/882294/882294.jpg,"<img aria-describedby=""product-prod240733"" alt=""Miel artesana de romero Primo Mendoza 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/882294/882294.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/882294/882294.jpg"" width=""100%""> <p class=""title-product"">
Miel artesana de romero Primo Mendoza 500 g</p>"
