Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Cebolla Carrefour malla 1 Kg,"1 kg |
1,30 €/kg",,"1,30 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235457/235457.jpg,"<img aria-describedby=""product-521032276"" alt=""Cebolla Carrefour malla 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235457/235457.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/235457/235457.jpg"" width=""100%""> <p class=""title-product"">
Cebolla Carrefour malla 1 Kg</p>"
Patata lavada Carrefour malla 5 Kg,"5 kg |
0,97 €/kg",,"4,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/793632/793632.jpg,"<img aria-describedby=""product-525888361"" alt=""Patata lavada Carrefour malla 5 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/793632/793632.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/793632/793632.jpg"" width=""100%""> <p class=""title-product"">
Patata lavada Carrefour malla 5 Kg</p>"
Ajos Carrefour Calidad y Origen malla 250 g,"250 g |
5,80 €/kg",,"1,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/496386/496386.jpg,"<img aria-describedby=""product-521031667"" alt=""Ajos Carrefour Calidad y Origen malla 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/496386/496386.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/496386/496386.jpg"" width=""100%""> <p class=""title-product"">
Ajos Carrefour Calidad y Origen malla 250 g</p>"
Patata para freir Carrefour 4 Kg,"4 kg |
0,99 €/kg","3,96 €",,"4,98 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053629/053629.png,"<img aria-describedby=""product-521036191"" alt=""Patata para freir Carrefour 4 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053629/053629.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053629/053629.png"" width=""100%""> <p class=""title-product"">
Patata para freir Carrefour 4 Kg</p>"
Patata lavada granel  1 Kg aprox,"Envase de 1000.0 g. aprox |
1,49 €/kg",,"1,49 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/356341/356341.jpg,"<img aria-describedby=""product-572601776"" alt=""Patata lavada granel  1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/356341/356341.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/356341/356341.jpg"" width=""100%""> <p class=""title-product"">
Patata lavada granel  1 Kg aprox</p>"
Patata para cocer Carrefour 4 Kg,"4 kg |
0,99 €/kg","3,96 €",,"4,98 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053631/053631.jpg,"<img aria-describedby=""product-521036193"" alt=""Patata para cocer Carrefour 4 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053631/053631.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053631/053631.jpg"" width=""100%""> <p class=""title-product"">
Patata para cocer Carrefour 4 Kg</p>"
Cebolla roja Carrefour malla 500 g,"500 g |
2,30 €/kg",,"1,15 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795908/795908.jpg,"<img aria-describedby=""product-521029168"" alt=""Cebolla roja Carrefour malla 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795908/795908.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/795908/795908.jpg"" width=""100%""> <p class=""title-product"">
Cebolla roja Carrefour malla 500 g</p>"
Cebolla dulce Carrefour malla 500 g,"500 g |
3,38 €/kg",,"1,69 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795906/795906.jpg,"<img aria-describedby=""product-521032281"" alt=""Cebolla dulce Carrefour malla 500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/795906/795906.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/795906/795906.jpg"" width=""100%""> <p class=""title-product"">
Cebolla dulce Carrefour malla 500 g</p>"
Cebolla  malla 2 Kg,"2 kg |
1,70 €/kg",,"1,70 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/176509/176509.jpg,"<img aria-describedby=""product-521032274"" alt=""Cebolla  malla 2 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/176509/176509.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/176509/176509.jpg"" width=""100%""> <p class=""title-product"">
Cebolla  malla 2 Kg</p>"
Patata guarnición Carrefour 1 Kg,"1 kg |
1,10 €/kg",,"1,10 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/809256/809256.jpg,"<img aria-describedby=""product-693401847"" alt=""Patata guarnición Carrefour 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/809256/809256.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/809256/809256.jpg"" width=""100%""> <p class=""title-product"">
Patata guarnición Carrefour 1 Kg</p>"
Cebolla  granel 1 kg aprox,"Envase de 1000.0 g. aprox |
1,35 €/kg",,"1,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053857/053857.jpg,"<img aria-describedby=""product-600709106"" alt=""Cebolla  granel 1 kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053857/053857.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053857/053857.jpg"" width=""100%""> <p class=""title-product"">
Cebolla  granel 1 kg aprox</p>"
Ajo Carrefour Bio malla 3 pz,"3 ud |
0,30 €/ud",,"0,89 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/091970/091970.jpg,"<img aria-describedby=""product-646001855"" alt=""Ajo Carrefour Bio malla 3 pz"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/091970/091970.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/091970/091970.jpg"" width=""100%""> <p class=""title-product"">
Ajo Carrefour Bio malla 3 pz</p>"
Boniato  bolsa 1 Kg aprox,"Envase de 1000.0 g. aprox |
1,99 €/kg",,"1,99 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053835/053835.jpg,"<img aria-describedby=""product-600709104"" alt=""Boniato  bolsa 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053835/053835.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053835/053835.jpg"" width=""100%""> <p class=""title-product"">
Boniato  bolsa 1 Kg aprox</p>"
Patata ecológica Carrefour Bio 2 Kg,"2 kg |
1,60 €/kg",,"3,20 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/048513/048513.jpg,"<img aria-describedby=""product-600709102"" alt=""Patata ecológica Carrefour Bio 2 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/048513/048513.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/048513/048513.jpg"" width=""100%""> <p class=""title-product"">
Patata ecológica Carrefour Bio 2 Kg</p>"
Cebolla Carrefour Bio malla 1 Kg,"1 kg |
1,85 €/kg",,"1,85 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/108604/108604.jpg,"<img aria-describedby=""product-609202422"" alt=""Cebolla Carrefour Bio malla 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/108604/108604.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/108604/108604.jpg"" width=""100%""> <p class=""title-product"">
Cebolla Carrefour Bio malla 1 Kg</p>"
Patata roja Carrefour malla 2 Kg,"2 kg |
1,22 €/kg",,"2,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/793633/793633.jpg,"<img aria-describedby=""product-527063218"" alt=""Patata roja Carrefour malla 2 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/793633/793633.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/793633/793633.jpg"" width=""100%""> <p class=""title-product"">
Patata roja Carrefour malla 2 Kg</p>"
Patata Madrid 3 kg,"3 kg |
1,16 €/kg",,"3,49 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/817912/817912.jpg,"<img aria-describedby=""product-prod840639"" alt=""Patata Madrid 3 kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/817912/817912.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/817912/817912.jpg"" width=""100%""> <p class=""title-product"">
Patata Madrid 3 kg</p>"
Cebolla dulce Carrefour Calidad y Origen 1 Kg,"1 kg |
1,95 €/kg",,"1,95 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/429156/429156.jpg,"<img aria-describedby=""product-prod360126"" alt=""Cebolla dulce Carrefour Calidad y Origen 1 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/429156/429156.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/429156/429156.jpg"" width=""100%""> <p class=""title-product"">
Cebolla dulce Carrefour Calidad y Origen 1 Kg</p>"
Patata para freir Carrefour Calidad y Origen malla 3 Kg,"3 kg |
1,30 €/kg",,"3,90 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/352630/352630.jpg,"<img aria-describedby=""product-521034191"" alt=""Patata para freir Carrefour Calidad y Origen malla 3 Kg"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/352630/352630.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/352630/352630.jpg"" width=""100%""> <p class=""title-product"">
Patata para freir Carrefour Calidad y Origen malla 3 Kg</p>"
