Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Lechuga iceberg Carrefour 1 ud,"1 ud |
0,59 €/ud","0,59 €",,"0,80 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235341/235341.jpg,"<img aria-describedby=""product-fprod1190510"" alt=""Lechuga iceberg Carrefour 1 ud"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235341/235341.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/235341/235341.jpg"" width=""100%""> <p class=""title-product"">
Lechuga iceberg Carrefour 1 ud</p>"
Guacamole Carrefour tarrina 200 g,"200 g |
7,95 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg,"<img aria-describedby=""product-prod1160715"" alt=""Guacamole Carrefour tarrina 200 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/208412/208412.jpg"" width=""100%""> <p class=""title-product"">
Guacamole Carrefour tarrina 200 g</p>"
Ensalada brotes tiernos delicius Carrefour bolsa 100 g,"100 g |
13,50 €/kg",,"1,35 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/766820/766820.jpg,"<img aria-describedby=""product-757834499"" alt=""Ensalada brotes tiernos delicius Carrefour bolsa 100 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/766820/766820.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/766820/766820.jpg"" width=""100%""> <p class=""title-product"">
Ensalada brotes tiernos delicius Carrefour bolsa 100 g</p>"
Espinaca troceada Carrefour 300 g,"300 g |
3,33 €/kg",,"1,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261718/261718.jpg,"<img aria-describedby=""product-526574300"" alt=""Espinaca troceada Carrefour 300 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261718/261718.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261718/261718.jpg"" width=""100%""> <p class=""title-product"">
Espinaca troceada Carrefour 300 g</p>"
Canónigos Carrefour 125 g,"125 g |
9,52 €/kg",,"1,19 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261722/261722.jpg,"<img aria-describedby=""product-521032341"" alt=""Canónigos Carrefour 125 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261722/261722.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261722/261722.jpg"" width=""100%""> <p class=""title-product"">
Canónigos Carrefour 125 g</p>"
Ensalada Gourmet mezcla Carrefour 200 g,"200 g |
5,95 €/kg",,"1,19 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261723/261723.jpg,"<img aria-describedby=""product-521032378"" alt=""Ensalada Gourmet mezcla Carrefour 200 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261723/261723.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261723/261723.jpg"" width=""100%""> <p class=""title-product"">
Ensalada Gourmet mezcla Carrefour 200 g</p>"
Cogollos de lechuga  bandeja 3 pz,"3 ud |
0,36 €/ud",,"1,09 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/172307/172307.jpg,"<img aria-describedby=""product-521033001"" alt=""Cogollos de lechuga  bandeja 3 pz "" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/172307/172307.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/172307/172307.jpg"" width=""100%""> <p class=""title-product"">
Cogollos de lechuga  bandeja 3 pz </p>"
Ensalada cuatro estaciones Carrefour 250 g,"250 g |
2,36 €/kg",,"0,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261721/261721.jpg,"<img aria-describedby=""product-521032376"" alt=""Ensalada cuatro estaciones Carrefour 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/261721/261721.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/261721/261721.jpg"" width=""100%""> <p class=""title-product"">
Ensalada cuatro estaciones Carrefour 250 g</p>"
Ensalada de brotes de espinaca Carrefour bolsa 250 g,"250 g |
5,16 €/kg",,"1,29 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/385965/385965.jpg,"<img aria-describedby=""product-625306284"" alt=""Ensalada de brotes de espinaca Carrefour bolsa 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/385965/385965.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/385965/385965.jpg"" width=""100%""> <p class=""title-product"">
Ensalada de brotes de espinaca Carrefour bolsa 250 g</p>"
Lechuga iceberg Carrefour 200 g,"200 g |
3,50 €/kg",,"0,70 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/522143/522143.png,"<img aria-describedby=""product-521032351"" alt=""Lechuga iceberg Carrefour 200 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/522143/522143.png"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/522143/522143.png"" width=""100%""> <p class=""title-product"">
Lechuga iceberg Carrefour 200 g</p>"
