Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Champiñon pie cortado Carrefour 300 g aprox,"Envase de  300.0 g. aprox |
3,89 €/kg",,"1,17 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271593/271593.jpg,"<img aria-describedby=""product-fprod1220162"" alt=""Champiñon pie cortado Carrefour 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271593/271593.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271593/271593.jpg"" width=""100%""> <p class=""title-product"">
Champiñon pie cortado Carrefour 300 g aprox</p>"
Champiñon laminado Carrefour bandeja 300 g aprox,"Envase de  300.0 g. aprox |
5,00 €/kg",,"1,50 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271583/271583.jpg,"<img aria-describedby=""product-fprod1220107"" alt=""Champiñon laminado Carrefour bandeja 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271583/271583.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271583/271583.jpg"" width=""100%""> <p class=""title-product"">
Champiñon laminado Carrefour bandeja 300 g aprox</p>"
Champiñon pie cortado Carrefour 500 g aprox,"Envase de  500.0 g. aprox |
4,29 €/kg",,"2,14 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271642/271642.jpg,"<img aria-describedby=""product-fprod1220135"" alt=""Champiñon pie cortado Carrefour 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271642/271642.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271642/271642.jpg"" width=""100%""> <p class=""title-product"">
Champiñon pie cortado Carrefour 500 g aprox</p>"
Seta Carrefour  250 g aprox,"Envase de  250.0 g. aprox |
7,10 €/kg",,"1,77 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271605/271605.jpg,"<img aria-describedby=""product-fprod1220121"" alt=""Seta Carrefour  250 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271605/271605.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271605/271605.jpg"" width=""100%""> <p class=""title-product"">
Seta Carrefour  250 g aprox</p>"
Seta Carrefour  500 g aprox,"Envase de  500.0 g. aprox |
6,50 €/kg",,"3,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271579/271579.jpg,"<img aria-describedby=""product-fprod1220101"" alt=""Seta Carrefour  500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271579/271579.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271579/271579.jpg"" width=""100%""> <p class=""title-product"">
Seta Carrefour  500 g aprox</p>"
Hongo portobello Carrefour  250 g aprox,"Envase de  250.0 g. aprox |
5,80 €/kg",,"1,45 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/279286/279286.jpg,"<img aria-describedby=""product-fprod1220456"" alt=""Hongo portobello Carrefour  250 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/279286/279286.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/279286/279286.jpg"" width=""100%""> <p class=""title-product"">
Hongo portobello Carrefour  250 g aprox</p>"
Seta laminada Carrefour  250 g aprox,"Envase de  250.0 g. aprox |
4,90 €/kg",,"1,22 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271640/271640.jpg,"<img aria-describedby=""product-fprod1220142"" alt=""Seta laminada Carrefour  250 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271640/271640.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271640/271640.jpg"" width=""100%""> <p class=""title-product"">
Seta laminada Carrefour  250 g aprox</p>"
Combinado setas Carrefour 250 g,"250 g |
12,00 €/kg",,"3,00 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271648/271648.jpg,"<img aria-describedby=""product-fprod1220138"" alt=""Combinado setas Carrefour 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271648/271648.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271648/271648.jpg"" width=""100%""> <p class=""title-product"">
Combinado setas Carrefour 250 g</p>"
Champiñon Carrefour Bio 300 g aprox,"Envase de  300.0 g. aprox |
9,95 €/kg",,"2,98 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271558/271558.jpg,"<img aria-describedby=""product-fprod1220096"" alt=""Champiñon Carrefour Bio 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271558/271558.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271558/271558.jpg"" width=""100%""> <p class=""title-product"">
Champiñon Carrefour Bio 300 g aprox</p>"
Champiñon cuartos Carrefour bandeja 300 g aprox,"Envase de  300.0 g. aprox |
6,00 €/kg",,"1,80 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271603/271603.jpg,"<img aria-describedby=""product-fprod1220123"" alt=""Champiñon cuartos Carrefour bandeja 300 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/271603/271603.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/271603/271603.jpg"" width=""100%""> <p class=""title-product"">
Champiñon cuartos Carrefour bandeja 300 g aprox</p>"
