Title,kg price,Discounted Price,Actual Price,Actual Price 2,Image,Merchant Product Id HTML
Tomate bola maduro  granel 500 g aprox,"Envase de 500.0 g. aprox |
1,19 €/kg","0,59 €",,"0,69 €",https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050267/050267.jpg,"<img aria-describedby=""product-526715366"" alt=""Tomate bola maduro  granel 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050267/050267.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/050267/050267.jpg"" width=""100%""> <p class=""title-product"">
Tomate bola maduro  granel 500 g aprox</p>"
Tomate cherry Carrefour tarrina 250 g,"250 g |
3,00 €/kg",,"0,75 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235421/235421.jpg,"<img aria-describedby=""product-850100488"" alt=""Tomate cherry Carrefour tarrina 250 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/235421/235421.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/235421/235421.jpg"" width=""100%""> <p class=""title-product"">
Tomate cherry Carrefour tarrina 250 g</p>"
Tomate rama Carrefour 1 Kg aprox,"Envase de 1000.0 g. aprox |
1,79 €/kg",,"1,79 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/718723/718723.jpg,"<img aria-describedby=""product-530913262"" alt=""Tomate rama Carrefour 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/718723/718723.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/718723/718723.jpg"" width=""100%""> <p class=""title-product"">
Tomate rama Carrefour 1 Kg aprox</p>"
Tomate pera  500 g aprox,"Envase de 500.0 g. aprox |
1,49 €/kg",,"0,74 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053826/053826.jpg,"<img aria-describedby=""product-532601623"" alt=""Tomate pera  500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/053826/053826.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/053826/053826.jpg"" width=""100%""> <p class=""title-product"">
Tomate pera  500 g aprox</p>"
Tomate ensalada  1 Kg  aprox,"Envase de 1000.0 g. aprox |
1,59 €/kg",,"1,59 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050265/050265.jpg,"<img aria-describedby=""product-530067024"" alt=""Tomate ensalada  1 Kg  aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/050265/050265.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/050265/050265.jpg"" width=""100%""> <p class=""title-product"">
Tomate ensalada  1 Kg  aprox</p>"
Pepino español  bandeja 500 g aprox,"Envase de 500.0 g. aprox |
1,59 €/kg",,"0,79 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/161016/161016.jpg,"<img aria-describedby=""product-521032248"" alt=""Pepino español  bandeja 500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/161016/161016.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/161016/161016.jpg"" width=""100%""> <p class=""title-product"">
Pepino español  bandeja 500 g aprox</p>"
Pepino español Villa del Prado  1 Kg aprox,"Envase de 1000.0 g. aprox |
1,29 €/kg",,"1,29 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811366/811366.jpg,"<img aria-describedby=""product-636701859"" alt=""Pepino español Villa del Prado  1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/811366/811366.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/811366/811366.jpg"" width=""100%""> <p class=""title-product"">
Pepino español Villa del Prado  1 Kg aprox</p>"
Tomate Kumato  500 g,"500 g |
2,50 €/kg",,"1,25 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/695475/695475.jpg,"<img aria-describedby=""product-521032216"" alt=""Tomate Kumato  500 g"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/695475/695475.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/695475/695475.jpg"" width=""100%""> <p class=""title-product"">
Tomate Kumato  500 g</p>"
Tomate sabor rosa selecta  500 g aprox,"Envase de 500.0 g. aprox |
3,95 €/kg",,"1,97 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/373600/373600.jpg,"<img aria-describedby=""product-prod73644"" alt=""Tomate sabor rosa selecta  500 g aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/373600/373600.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/373600/373600.jpg"" width=""100%""> <p class=""title-product"">
Tomate sabor rosa selecta  500 g aprox</p>"
Tomate Kumato  granel 1 Kg aprox,"Envase de 1000.0 g. aprox |
2,39 €/kg",,"2,39 €",,https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/070713/070713.jpg,"<img aria-describedby=""product-683401804"" alt=""Tomate Kumato  granel 1 Kg aprox"" src=""https://static.carrefour.es/hd_280x_/supermercado/bcc_static/catalogImages/product/070713/070713.jpg"" srcset=""https://static.carrefour.es/hd_560x_/supermercado/bcc_static/catalogImages/product/070713/070713.jpg"" width=""100%""> <p class=""title-product"">
Tomate Kumato  granel 1 Kg aprox</p>"
